,TF,Target,Mode,PMID,TF_age,Tg_age
0,Aatf,Bak1,Unknown,22983126,Eukaryota,Eumetazoa
1,Aatf,Bax,Unknown,22983126,Eukaryota,Eumetazoa
2,Aatf,Bbc3,Unknown,22983126,Eukaryota,Mammalia
3,Aatf,Cdkn1a,Unknown,21317046,Eukaryota,Eumetazoa
4,Aatf,Tpt1,Activation,17157788,Eukaryota,Eukaryota
5,Aatf,Trp53,Activation,17157788;20708154,Eukaryota,Opisthokonta
6,Abl1,Trp53,Unknown,7651743,Euk+Bac,Opisthokonta
7,Abl1,Trp73,Unknown,11466610,Euk+Bac,
8,Aebp2,Jarid2,Unknown,25451679,Eumetazoa,Eumetazoa
9,Aebp2,Snai2,Unknown,25451679,Eumetazoa,Eumetazoa
10,Aes,Ihh,Activation,15183720,,Eumetazoa
11,Ahr,Abcc4,Unknown,20395535,Eumetazoa,Euk+Bac
12,Ahr,Apaf1,Unknown,18524851,Eumetazoa,
13,Ahr,Cyp19a1,Activation,16260617,Eumetazoa,Eumetazoa
14,Ahr,Cyp1a1,Activation,1317062;15313166;19474220,Eumetazoa,Euk+Bac
15,Ahr,Cyp1a1,Unknown,11248424;19470599;24639079,Eumetazoa,Euk+Bac
16,Ahr,Cyp1a2,Unknown,22442665,Eumetazoa,Euk+Bac
17,Ahr,Cyp1b1,Unknown,19470599;22442665,Eumetazoa,Eumetazoa
18,Ahr,E2f2,Unknown,20573986,Eumetazoa,Eukaryota
19,Ahr,Gata4,Repression,22684894,Eumetazoa,
20,Ahr,Gsta1,Activation,19474220,Eumetazoa,Euk+Bac
21,Ahr,Il17a,Repression,21266768,Eumetazoa,Mammalia
22,Ahr,Il17a,Unknown,21266776,Eumetazoa,Mammalia
23,Ahr,Il6,Repression,19703987;21930594,Eumetazoa,Vertebrata
24,Ahr,Lhb,Unknown,24145128,Eumetazoa,Vertebrata
25,Ahr,Nkx2-5,Repression,22684894,Eumetazoa,Eumetazoa
26,Ahr,Nqo1,Activation,19474220,Eumetazoa,Cellular_organisms
27,Ahr,Nqo1,Unknown,23800876,Eumetazoa,Cellular_organisms
28,Ahr,Pla2g4a,Activation,19716514,Eumetazoa,Opisthokonta
29,Ahr,Ptgs2,Activation,15213229,Eumetazoa,Eukaryota
30,Ahr,Serpinb2,Unknown,19822660,Eumetazoa,Cellular_organisms
31,Ahr,Sim1,Unknown,14660629,Eumetazoa,Eumetazoa
32,Ahr,Smoc2,Unknown,19146932,Eumetazoa,Eumetazoa
33,Ahr,Snai2,Activation,16952353,Eumetazoa,Eumetazoa
34,Ahr,Ugt1a6a,Activation,19474220,Eumetazoa,
35,Ahr,Vav3,Activation,21115475,Eumetazoa,Eukaryota
36,Aire,Bmp2,Unknown,23850677,Vertebrata,Eumetazoa
37,Aire,F11,Activation,22203960,Vertebrata,Mammalia
38,Alx4,Fgf10,Activation,25673119,Eukaryota,Eumetazoa
39,Ankrd1,Myl2,Repression,9043061,Vertebrata,Eukaryota
40,Ankrd1,Nppa,Repression,18273862,Vertebrata,Vertebrata
41,Apbb1,Lrp1,Repression,17920016,Eumetazoa,Eumetazoa
42,Apbb1,Notch1,Unknown,22199353,Eumetazoa,Eukaryota
43,Apc,Ctnnb1,Unknown,15327768,Eumetazoa,Eumetazoa
44,Apc,Myc,Repression,10229202;16510874,Eumetazoa,Eumetazoa
45,Apc,Spp1,Activation,17565744,Eumetazoa,Mammalia
46,Apc,Tcf4,Activation,10489374,Eumetazoa,Eumetazoa
47,Apc,Trp53,Repression,18533991,Eumetazoa,Opisthokonta
48,Apex1,Apod,Unknown,20493910,Cellular_organisms,Euk+Bac
49,Apex1,Blk,Activation,14594818,Cellular_organisms,Vertebrata
50,Apex1,Ccl12,Activation,17045925,Cellular_organisms,Mammalia
