TF,Target,Mode,PMID,Tf_age,Tg_age
AATF,BAX,Repression,22909821,Eukaryota,Opisthokonta
AATF,CDKN1A,Unknown,17157788,Hominidae,Vertebrata
AATF,KLK3,Unknown,23146908,Eukaryota,Vertebrata
AATF,MYC,Activation,20549547,Hominidae,Vertebrata
AATF,TP53,Unknown,17157788,Eukaryota,Opisthokonta
ABL1,BAX,Activation,11753601,Hominidae,Opisthokonta
ABL1,BCL2,Repression,11753601,Eukaryota,Opisthokonta
ABL1,BCL6,Repression,15509806,Hominidae,Opisthokonta
ABL1,CCND2,Activation,15509806,Eukaryota,Eukaryota
ABL1,CDKN1A,Activation,11753601;9916993,Hominidae,Vertebrata
ABL1,CSF1,Activation,23418320,Eumetazoa,Vertebrata
ABL1,CSF1,Unknown,18619508,Eumetazoa,Vertebrata
ABL1,FOXO3,Activation,15509806,Eumetazoa,Vertebrata
ABL1,JUN,Activation,15145216,Eumetazoa,Eumetazoa
ABL1,JUN,Repression,19357699,Eumetazoa,Eumetazoa
ABL1,PIM1,Activation,15145216,Eumetazoa,Vertebrata
ABL1,TP53,Activation,11753601,Eumetazoa,Opisthokonta
AES,EPHA3,Unknown,20676368,Eumetazoa,Vertebrata
AES,LEF1,Activation,20676368,Eumetazoa,Vertebrata
AES,RND3,Activation,23546594,Eumetazoa,Vertebrata
AHR,ABCG2,Unknown,20460431,Eumetazoa,Hominidae
AHR,AHRR,Activation,18848529,Eumetazoa,Opisthokonta
AHR,ARNT,Unknown,19255421;8631989,,Opisthokonta
AHR,BRCA1,Unknown,18259752,,Hominidae
AHR,CA9,Repression,19154183,,Eumetazoa
AHR,CCND1,Unknown,24380854,Opisthokonta,> Eukaryota
AHR,CCNG2,Activation,22596188,Opisthokonta,> Eukaryota
AHR,CYP1A1,Activation,12213390;9865727,Opisthokonta,Eumetazoa
AHR,CYP1A1,Repression,17012224,Opisthokonta,Eumetazoa
AHR,CYP1A1,Unknown,10359656;12376470;15325265;19376845;21357676;24639079;8631128;9698073,Opisthokonta,Eumetazoa
AHR,CYP1A2,Unknown,21357676,Opisthokonta,Eumetazoa
AHR,CYP1B1,Activation,16115918;19287966,Opisthokonta,Eumetazoa
AHR,CYP1B1,Unknown,12376470;19376845;21742528;24299737,Opisthokonta,Eumetazoa
AHR,CYP2B6,Unknown,19928584,Opisthokonta,Vertebrata
