Tf,Tg,Tf_age,Tg_age
YAL051W,YAL016W,Saccharomycetaceae,Fungi
YAL051W,YAL034WA,Saccharomycetaceae,
YAL051W,YAL035CA,Saccharomycetaceae,
YAL051W,YAL035W,Saccharomycetaceae,> Eukaryota
YAL051W,YAL036C,Saccharomycetaceae,> Eukaryota
YAL051W,YBL089W,Saccharomycetaceae,> Eukaryota
YAL051W,YBR019C,Saccharomycetaceae,Saccharomycetaceae
YAL051W,YBR020W,Saccharomycetaceae,Fungi
YAL051W,YBR127C,Saccharomycetaceae,Ascomycota
YAL051W,YBR150C,Saccharomycetaceae,Saccharomyceta
YAL051W,YBR151W,Saccharomycetaceae,Saccharomyceta
YAL051W,YBR187W,Saccharomycetaceae,Ascomycota
YAL051W,YBR214W,Saccharomycetaceae,Fungi
YAL051W,YCR020CA,Saccharomycetaceae,
YAL051W,YCR081W,Saccharomycetaceae,Ascomycota
YAL051W,YDR048C,Saccharomycetaceae,Saccharomyces
YAL051W,YDR207C,Saccharomycetaceae,Saccharomyceta
YAL051W,YDR208W,Saccharomycetaceae,Saccharomyceta
YAL051W,YDR256C,Saccharomycetaceae,Ascomycota
YAL051W,YEL011W,Saccharomycetaceae,Eukaryota
YAL051W,YER015W,Saccharomycetaceae,Saccharomyceta
YAL051W,YGL143C,Saccharomycetaceae,Ascomycota
YAL051W,YGL201C,Saccharomycetaceae,> Eukaryota
YAL051W,YGL235W,Saccharomycetaceae,Saccharomyces
YAL051W,YGL237C,Saccharomycetaceae,> Eukaryota
YAL051W,YGR109C,Saccharomycetaceae,Saccharomyceta
YAL051W,YGR109WA,Saccharomycetaceae,
YAL051W,YGR109WB,Saccharomycetaceae,
YAL051W,YGR188C,Saccharomycetaceae,Fungi
YAL051W,YHL017W,Saccharomycetaceae,Saccharomyces
YAL051W,YHR041C,Saccharomycetaceae,Ascomycota
YAL051W,YHR042W,Saccharomycetaceae,Ascomycota
YAL051W,YHR117W,Saccharomycetaceae,Saccharomyces
YAL051W,YIL069C,Saccharomycetaceae,Ascomycota
YAL051W,YIL113W,Saccharomycetaceae,Saccharomyces
YAL051W,YIL114C,Saccharomycetaceae,Saccharomycetaceae
YAL051W,YIL120W,Saccharomycetaceae,Saccharomyceta
YAL051W,YJL222W,Saccharomycetaceae,Eukaryota
YAL051W,YJR069C,Saccharomycetaceae,> Eukaryota
YAL051W,YJR071W,Saccharomycetaceae,Saccharomyces
YAL051W,YKL146W,Saccharomycetaceae,Saccharomyceta
YAL051W,YKL148C,Saccharomycetaceae,Ascomycota
YAL051W,YLR089C,Saccharomycetaceae,Ascomycota
YAL051W,YLR090W,Saccharomycetaceae,Saccharomycetaceae
YAL051W,YLR174W,Saccharomycetaceae,Ascomycota
YAL051W,YLR176C,Saccharomycetaceae,Ascomycota
YAL051W,YLR177W,Saccharomycetaceae,Fungi
YAL051W,YLR373C,Saccharomycetaceae,Saccharomycetaceae
YAL051W,YLR375W,Saccharomycetaceae,Saccharomyceta
YAL051W,YML072C,Saccharomycetaceae,Eukaryota
YAL051W,YMR043W,Saccharomycetaceae,Eukaryota
YAL051W,YNL299W,Saccharomycetaceae,Eukaryota
YAL051W,YNL321W,Saccharomycetaceae,Saccharomyceta
YAL051W,YNL322C,Saccharomycetaceae,Saccharomyceta
YAL051W,YOL083W,Saccharomycetaceae,Saccharomyces
YAL051W,YOR042W,Saccharomycetaceae,Ascomycota
YAL051W,YPL016W,Saccharomycetaceae,Saccharomyces
YAL051W,YPL017C,Saccharomycetaceae,Saccharomyces
YAL051W,YPL262W,Saccharomycetaceae,Fungi
YAL051W,YPL263C,Saccharomycetaceae,Fungi
YAL051W,YPR148C,Saccharomycetaceae,Fungi
YBL005W,YBL006C,Saccharomycetaceae,Ascomycota
YBL005W,YBR008C,Saccharomycetaceae,Saccharomyceta
YBL005W,YDR011W,Saccharomycetaceae,Saccharomyceta
YBL005W,YDR072C,Saccharomycetaceae,Saccharomyceta
YBL005W,YDR406W,Saccharomycetaceae,Ascomycota
YBL005W,YDR415C,Saccharomycetaceae,Eukaryota
YBL005W,YDR416W,Saccharomycetaceae,Eukaryota
YBL005W,YDR468C,Saccharomycetaceae,Dikarya
YBL005W,YDR469W,Saccharomycetaceae,Dikarya
YBL005W,YGR281W,Saccharomycetaceae,Dikarya
YBL005W,YHR064C,Saccharomycetaceae,Opisthokonta
YBL005W,YJL219W,Saccharomycetaceae,Saccharomyceta
YBL005W,YJR007W,Saccharomycetaceae,Saccharomycetaceae
YBL005W,YKL077W,Saccharomycetaceae,Ascomycota
YBL005W,YML093W,Saccharomycetaceae,Fungi
YBL005W,YML095CA,Saccharomycetaceae,
YBL005W,YML096W,Saccharomycetaceae,Fungi
YBL005W,YML097C,Saccharomycetaceae,Fungi
YBL005W,YMR193W,Saccharomycetaceae,Dikarya
YBL005W,YMR258C,Saccharomycetaceae,Fungi
YBL005W,YNL258C,Saccharomycetaceae,Dikarya
YBL005W,YNR007C,Saccharomycetaceae,Eukaryota
YBL005W,YNR008W,Saccharomycetaceae,Eukaryota
YBL005W,YOL083W,Saccharomycetaceae,Saccharomyces
YBL005W,YOL156W,Saccharomycetaceae,Saccharomyceta
YBL005W,YOR148C,Saccharomycetaceae,Fungi
YBL005W,YOR153W,Saccharomycetaceae,Ascomycota
YBL005W,YOR233W,Saccharomycetaceae,Saccharomycetaceae
YBL005W,YOR328W,Saccharomycetaceae,Dikarya
YBL054W,YIR030C,Saccharomycetaceae,Ascomycota
YBL103C,YAL062W,Fungi,> Eukaryota
YBL103C,YBL043W,Fungi,Saccharomyceta
YBL103C,YBR104W,Fungi,Eukaryota
YBL103C,YCR005C,Fungi,Dikarya
YBL103C,YCR018CA,Fungi,
YBL103C,YCR019W,Fungi,Eukaryota
YBL103C,YCR020CA,Fungi,
YBL103C,YCR021C,Fungi,Saccharomycetaceae
YBL103C,YCR090C,Fungi,Saccharomyceta
YBL103C,YCR095C,Fungi,Dikarya
YBL103C,YCR096C,Fungi,Saccharomyceta
YBL103C,YCR097W,Fungi,Dikarya
YBL103C,YCR105W,Fungi,Ascomycota
YBL103C,YCR107W,Fungi,Saccharomyces
YBL103C,YDL013W,Fungi,Eukaryota
YBL103C,YDL044C,Fungi,Saccharomyceta
YBL103C,YDL066W,Fungi,Ascomycota
YBL103C,YDL067C,Fungi,Saccharomyces
YBL103C,YDL182W,Fungi,Fungi
YBL103C,YDR040C,Fungi,Saccharomyces
YBL103C,YDR041W,Fungi,Saccharomyces
YBL103C,YDR042C,Fungi,Saccharomyces
YBL103C,YDR067C,Fungi,Eukaryota
YBL103C,YDR068W,Fungi,Eukaryota
YBL103C,YDR077W,Fungi,Saccharomyceta
YBL103C,YDR078C,Fungi,Saccharomyceta
YBL103C,YDR079W,Fungi,Saccharomyceta
YBL103C,YDR084C,Fungi,Saccharomyceta
YBL103C,YDR127W,Fungi,Saccharomyceta
YBL103C,YDR179C,Fungi,Ascomycota
YBL103C,YDR179WA,Fungi,
YBL103C,YDR210WD,Fungi,
YBL103C,YDR314C,Fungi,Saccharomycetaceae
YBL103C,YDR317W,Fungi,Saccharomycetaceae
YBL103C,YDR482C,Fungi,Ascomycota
YBL103C,YDR483W,Fungi,Saccharomycetaceae
YBL103C,YDR508C,Fungi,Saccharomyceta
YBL103C,YDR510W,Fungi,Saccharomyceta
YBL103C,YDR519W,Fungi,Eukaryota
YBL103C,YDR522C,Fungi,Ascomycota
YBL103C,YDR540C,Fungi,Saccharomyces
YBL103C,YEL010W,Fungi,Saccharomyces
YBL103C,YEL050C,Fungi,Fungi
YBL103C,YEL071W,Fungi,Ascomycota
YBL103C,YER002W,Fungi,Saccharomyces
YBL103C,YER013W,Fungi,Saccharomycetaceae
YBL103C,YER044CA,Fungi,
YBL103C,YER069W,Fungi,Saccharomyceta
YBL103C,YER129W,Fungi,Eukaryota
YBL103C,YER138C,Fungi,
YBL103C,YFR017C,Fungi,Eukaryota
YBL103C,YGL255W,Fungi,Saccharomyces
YBL103C,YGR050C,Fungi,Saccharomyces
YBL103C,YGR071C,Fungi,Saccharomycetaceae
YBL103C,YGR072W,Fungi,Saccharomycetaceae
YBL103C,YGR142W,Fungi,Saccharomycetaceae
YBL103C,YGR218W,Fungi,Ascomycota
YBL103C,YGR271CA,Fungi,
YBL103C,YGR272C,Fungi,
YBL103C,YHR018C,Fungi,Ascomycota
YBL103C,YHR161C,Fungi,Eukaryota
YBL103C,YHR162W,Fungi,Opisthokonta
YBL103C,YIL056W,Fungi,Saccharomyceta
YBL103C,YIR029W,Fungi,Ascomycota
YBL103C,YJL088W,Fungi,Ascomycota
YBL103C,YJR011C,Fungi,Fungi
YBL103C,YJR109C,Fungi,Dikarya
YBL103C,YJR110W,Fungi,Dikarya
YBL103C,YJR148W,Fungi,Ascomycota
YBL103C,YKL067W,Fungi,Ascomycota
YBL103C,YKL071W,Fungi,Fungi
YBL103C,YKR004C,Fungi,Eukaryota
YBL103C,YLL004W,Fungi,> Eukaryota
YBL103C,YLL005C,Fungi,> Eukaryota
YBL103C,YLL015W,Fungi,Ascomycota
YBL103C,YLR049C,Fungi,Ascomycota
YBL103C,YLR082C,Fungi,Saccharomyces
YBL103C,YLR130C,Fungi,Ascomycota
YBL103C,YLR140W,Fungi,Saccharomyces
YBL103C,YLR141W,Fungi,Eukaryota
YBL103C,YLR266C,Fungi,Saccharomycetaceae
YBL103C,YLR267W,Fungi,Saccharomycetaceae
YBL103C,YLR302C,Fungi,Saccharomyces
YBL103C,YLR304C,Fungi,Eukaryota
YBL103C,YLR316C,Fungi,Opisthokonta
YBL103C,YLR318W,Fungi,Opisthokonta
YBL103C,YLR397C,Fungi,> Eukaryota
YBL103C,YMR019W,Fungi,Saccharomyces
YBL103C,YMR098C,Fungi,> Eukaryota
YBL103C,YMR135WA,Fungi,
YBL103C,YMR178W,Fungi,Fungi
YBL103C,YMR193W,Fungi,Dikarya
YBL103C,YMR227C,Fungi,Dikarya
YBL103C,YMR228W,Fungi,Dikarya
YBL103C,YMR251WA,Fungi,
YBL103C,YNL001W,Fungi,Fungi
YBL103C,YNL002C,Fungi,Saccharomyceta
YBL103C,YNL036W,Fungi,Ascomycota
YBL103C,YNL037C,Fungi,Ascomycota
YBL103C,YNL134C,Fungi,Ascomycota
YBL103C,YNR001C,Fungi,Dikarya
YBL103C,YNR017W,Fungi,> Eukaryota
YBL103C,YOL159C,Fungi,Saccharomyces
YBL103C,YOR136W,Fungi,Saccharomycetaceae
YBL103C,YOR302W,Fungi,Ascomycota
YBL103C,YOR303W,Fungi,Ascomycota
YBL103C,YPL124W,Fungi,Saccharomyces
YBL103C,YPL135W,Fungi,> Eukaryota
YBL103C,YPL137C,Fungi,Saccharomyceta
YBL103C,YPL268W,Fungi,Ascomycota
YBL103C,YPR001W,Fungi,Ascomycota
YBL103C,YPR038W,Fungi,Saccharomyces
YBL103C,YPR039W,Fungi,Saccharomyces
YBL103C,YPR040W,Fungi,Saccharomyceta
YBL103C,YPR198W,Fungi,Saccharomyces
YBR033W,YEL015W,Dikarya,Eukaryota
YBR033W,YEL016C,Dikarya,Eukaryota
YBR033W,YJR132W,Dikarya,Fungi
YBR049C,YAL030W,Fungi,Dikarya
