TF,Target,Mode,PMID,Tf_age,Tg_age,Tg_age_int,TF_age_int,age_length,TF_ID,Target_ID
AATF,BAX,Repression,22909821,Eukaryota,Vertebrata,5,2,3,26574,581
AATF,CDKN1A,Unknown,17157788,Eukaryota,Mammalia,6,2,4,26574,1026
AATF,KLK3,Unknown,23146908,Eukaryota,Eumetazoa,4,2,2,26574,354
AATF,MYC,Activation,20549547,Eukaryota,Opisthokonta,3,2,1,26574,4609
AATF,TP53,Unknown,17157788,Eukaryota,Vertebrata,5,2,3,26574,7157
ABL1,BAX,Activation,11753601,Eukaryota,Vertebrata,5,2,3,1436,581
ABL1,BCL2,Repression,11753601,Eukaryota,Vertebrata,5,2,3,1436,596
ABL1,BCL6,Repression,15509806,Eukaryota,Eumetazoa,4,2,2,1436,604
ABL1,CCND2,Activation,15509806,Eukaryota,Eukaryota,2,2,0,1436,894
ABL1,CDKN1A,Activation,11753601;9916993,Eukaryota,Mammalia,6,2,4,1436,1026
ABL1,CSF1,Activation,23418320,Eukaryota,Mammalia,6,2,4,1436,1435
ABL1,CSF1,Unknown,18619508,Eukaryota,Mammalia,6,2,4,1436,1435
ABL1,FOXO3,Activation,15509806,Eukaryota,Opisthokonta,3,2,1,1436,2309
ABL1,JUN,Activation,15145216,Eukaryota,Opisthokonta,3,2,1,1436,3725
ABL1,JUN,Repression,19357699,Eukaryota,Opisthokonta,3,2,1,1436,3725
ABL1,PIM1,Activation,15145216,Eukaryota,Eukaryota,2,2,0,1436,5292
ABL1,TP53,Activation,11753601,Eukaryota,Vertebrata,5,2,3,1436,7157
AES,EPHA3,Unknown,20676368,Eumetazoa,Eukaryota,2,4,2,166,8994
AES,LEF1,Activation,20676368,Eumetazoa,Opisthokonta,3,4,1,166,51176
AES,RND3,Activation,23546594,Eumetazoa,Eukaryota,2,4,2,166,997
AHR,ABCG2,Unknown,20460431,Eumetazoa,cellular organisms,1,4,3,196,3918
AHR,AHRR,Activation,18848529,Eumetazoa,cellular organisms,1,4,3,196,57491
AHR,ARNT,Unknown,19255421;8631989,Eumetazoa,Opisthokonta,3,4,1,196,405
AHR,BRCA1,Unknown,18259752,Eumetazoa,Eukaryota,2,4,2,196,672
AHR,CA9,Repression,19154183,Eumetazoa,Eukaryota,2,4,2,196,768
AHR,CCND1,Unknown,24380854,Eumetazoa,Eukaryota,2,4,2,196,7436
AHR,CCNG2,Activation,22596188,Eumetazoa,Eukaryota,2,4,2,196,901
AHR,CYP1A1,Activation,12213390;9865727,Eumetazoa,cellular organisms,1,4,3,196,6776
AHR,CYP1A1,Repression,17012224,Eumetazoa,cellular organisms,1,4,3,196,6776
AHR,CYP1A1,Unknown,10359656;12376470;15325265;19376845;21357676;24639079;8631128;9698073,Eumetazoa,cellular organisms,1,4,3,196,6776
AHR,CYP1A2,Unknown,21357676,Eumetazoa,cellular organisms,1,4,3,196,1544
AHR,CYP1B1,Activation,16115918;19287966,Eumetazoa,cellular organisms,1,4,3,196,1545
AHR,CYP1B1,Unknown,12376470;19376845;21742528;24299737,Eumetazoa,cellular organisms,1,4,3,196,1545
AHR,CYP2B6,Unknown,19928584,Eumetazoa,cellular organisms,1,4,3,196,1555
AHR,FOS,Unknown,10478842,Eumetazoa,Eumetazoa,4,4,0,196,7027
AHR,IL13,Unknown,22981205,Eumetazoa,Mammalia,6,4,2,196,3596
AHR,IL1B,Unknown,23349129,Eumetazoa,Mammalia,6,4,2,196,3553
AHR,IL6,Activation,20511231,Eumetazoa,Vertebrata,5,4,1,196,3569
AHR,IL6,Unknown,18483242;23349129,Eumetazoa,Vertebrata,5,4,1,196,3569
AHR,MFSD2A,Unknown,21736709,Eumetazoa,cellular organisms,1,4,3,196,84879
AHR,MT2A,Unknown,23994556,Eumetazoa,Mammalia,6,4,2,196,2305
AHR,MYC,Unknown,11114727;16091746,Eumetazoa,Opisthokonta,3,4,1,196,4609
AHR,PCNA,Activation,12417031,Eumetazoa,cellular organisms,1,4,3,196,5111
AHR,RFC3,Activation,12417031,Eumetazoa,cellular organisms,1,4,3,196,54566
AHR,UGT1A1,Activation,18172616,Eumetazoa,cellular organisms,1,4,3,196,54658
AHR,UGT1A6,Unknown,9466822,Eumetazoa,cellular organisms,1,4,3,196,54578
AIP,AHR,Activation,11469723,Eukaryota,Eumetazoa,4,2,2,9049,196
AIP,GREB1,Repression,21984905,Eukaryota,Vertebrata,5,2,3,9049,9687
AIP,NFKB2,Repression,21984905,Eukaryota,Eukaryota,2,2,0,9049,4791
AIP,RSF1,Repression,21984905,Eukaryota,Eukaryota,2,2,0,9049,51773
AIP,TFF1,Repression,21984905,Eukaryota,Mammalia,6,2,4,9049,597
AIRE,CHRNA1,Unknown,17687331,Eukaryota,Eumetazoa,4,2,2,326,3487
ANKRD1,NPPA,Repression,18273862,cellular organisms,Vertebrata,5,1,4,27063,4878
APBB1,GMPS,Repression,21453247,Eumetazoa,cellular organisms,1,4,3,322,8833
APC,AKT1,Repression,15888491,Eumetazoa,Eukaryota,2,4,2,324,207
APC,AMHR2,Repression,12724325,Eumetazoa,Eukaryota,2,4,2,324,269
APC,BIRC5,Unknown,11751382,Eumetazoa,Opisthokonta,3,4,1,324,332
APC,DLG1,Unknown,21858148,Eumetazoa,cellular organisms,1,4,3,324,5551
APC,DNMT1,Repression,12538344,Eumetazoa,cellular organisms,1,4,3,324,1786
APC,F8,Unknown,12010799,Eumetazoa,Eumetazoa,4,4,0,324,2157
APC,KLF4,Unknown,12387883,Eumetazoa,Eukaryota,2,4,2,324,9314
APC,MYC,Repression,16510874,Eumetazoa,Opisthokonta,3,4,1,324,4609
APC,NOS2,Activation,11935128,Eumetazoa,Eumetazoa,4,4,0,324,4843
APC,ODC1,Repression,12112318,Eumetazoa,Eukaryota,2,4,2,324,4953
APC,PTGS2,Repression,10772828;12566320,Eumetazoa,Eukaryota,2,4,2,324,5743
APC,PTGS2,Unknown,11396184,Eumetazoa,Eukaryota,2,4,2,324,5743
APC,SGK1,Repression,18487207,Eumetazoa,Eukaryota,2,4,2,324,6446
APEX1,CCL2,Activation,17045925,cellular organisms,Vertebrata,5,1,4,328,6347
APEX1,CD19,Activation,10666449,cellular organisms,Mammalia,6,1,5,328,930
APEX1,CYP11B2,Repression,22652909,cellular organisms,cellular organisms,1,1,0,328,1585
APEX1,NFKB1,Activation,17045925,cellular organisms,Eukaryota,2,1,1,328,4790
APEX1,PTH,Repression,14633989,cellular organisms,cellular organisms,1,1,0,328,5741
APEX1,RELA,Activation,17045925,cellular organisms,Eumetazoa,4,1,3,328,5970
APEX1,SLC5A5,Activation,14630715,cellular organisms,cellular organisms,1,1,0,328,6528
AR,ACTA1,Activation,15623502,Eumetazoa,Eukaryota,2,4,2,367,58
AR,AKR1C3,Repression,22971343,Eumetazoa,cellular organisms,1,4,3,367,8644
AR,AKT1,Activation,11278645,Eumetazoa,Eukaryota,2,4,2,367,207
AR,AKT1,Repression,20589722,Eumetazoa,Eukaryota,2,4,2,367,207
AR,ALDH1A3,Unknown,17526768,Eumetazoa,cellular organisms,1,4,3,367,6285
AR,ARG1,Activation,20711410,Eumetazoa,cellular organisms,1,4,3,367,383
AR,ARG2,Activation,20711410,Eumetazoa,cellular organisms,1,4,3,367,4502
AR,ATAD2,Unknown,22771493,Eumetazoa,cellular organisms,1,4,3,367,29028
AR,BSG,Unknown,14633669,Eumetazoa,Eumetazoa,4,4,0,367,682
AR,BTG1,Repression,16281084,Eumetazoa,Eukaryota,2,4,2,367,1739
AR,BTG2,Repression,16281084,Eumetazoa,Eukaryota,2,4,2,367,7832
AR,CDK20,Activation,21747169,Eumetazoa,Eukaryota,2,4,2,367,23552
AR,CDC6,Activation,24583551,Eumetazoa,cellular organisms,1,4,3,367,990
AR,CDC6,Unknown,18541154,Eumetazoa,cellular organisms,1,4,3,367,990
AR,CDH1,Repression,18794357,Eumetazoa,Eumetazoa,4,4,0,367,9781
AR,CDH11,Unknown,20191612,Eumetazoa,Eumetazoa,4,4,0,367,1009
AR,CDH2,Activation,17297473;18535113,Eumetazoa,Eumetazoa,4,4,0,367,1000
AR,CDK6,Unknown,15790678,Eumetazoa,Eukaryota,2,4,2,367,1021
AR,CDKN1A,Activation,10076995,Eumetazoa,Mammalia,6,4,2,367,1026
AR,CDKN1A,Repression,16281084,Eumetazoa,Mammalia,6,4,2,367,1026
AR,CLK3,Repression,16281084,Eumetazoa,Eukaryota,2,4,2,367,7024
AR,CRH,Repression,16446741,Eumetazoa,Mammalia,6,4,2,367,1392
AR,CRISP1,Unknown,11223178,Eumetazoa,Eukaryota,2,4,2,367,718
AR,CRISP3,Unknown,11223178,Eumetazoa,Eukaryota,2,4,2,367,10321
AR,CTNNB1,Activation,18535113,Eumetazoa,Eukaryota,2,4,2,367,1499
AR,CYP7B1,Repression,16630558,Eumetazoa,cellular organisms,1,4,3,367,9420
AR,EGFR,Activation,11556855;21613411,Eumetazoa,Eukaryota,2,4,2,367,1956
AR,ELK4,Unknown,18469865,Eumetazoa,Eumetazoa,4,4,0,367,2005
AR,EP300,Activation,22334658,Eumetazoa,Eukaryota,2,4,2,367,2033
AR,ERBB2,Activation,21613411,Eumetazoa,Eukaryota,2,4,2,367,2064
AR,ERBB2,Unknown,21741601,Eumetazoa,Eukaryota,2,4,2,367,2064
AR,ERBB3,Activation,21741601,Eumetazoa,Eukaryota,2,4,2,367,4158
AR,ETV1,Activation,19789348,Eumetazoa,Eumetazoa,4,4,0,367,2115
AR,FKBP4,Unknown,23192983,Eumetazoa,cellular organisms,1,4,3,367,2288
AR,FN1,Unknown,21055159,Eumetazoa,Eumetazoa,4,4,0,367,2335
AR,FOLH1,Unknown,12539223,Eumetazoa,Eukaryota,2,4,2,367,2346
AR,FOXA1,Unknown,12750453,Eumetazoa,Opisthokonta,3,4,1,367,3169
AR,GNMT,Unknown,23997240,Eumetazoa,cellular organisms,1,4,3,367,27232
AR,GREB1,Unknown,16496412,Eumetazoa,Vertebrata,5,4,1,367,9687
AR,GTF2F1,Unknown,9238003,Eumetazoa,Eumetazoa,4,4,0,367,2962
AR,HMMR,Unknown,18174258,Eumetazoa,Mammalia,6,4,2,367,3161
AR,HMOX1,Activation,11965035,Eumetazoa,Opisthokonta,3,4,1,367,3162
AR,IFI16,Unknown,16494870,Eumetazoa,Mammalia,6,4,2,367,3428
AR,IGF1R,Activation,15033751;17202144,Eumetazoa,Eukaryota,2,4,2,367,3480
AR,IGFBP3,Unknown,23859805,Eumetazoa,Eumetazoa,4,4,0,367,3486
AR,JUN,Activation,20148354,Eumetazoa,Opisthokonta,3,4,1,367,3725
AR,KISS1,Activation,18331266,Eumetazoa,Mammalia,6,4,2,367,7021
AR,KISS1R,Activation,18331266,Eumetazoa,Eumetazoa,4,4,0,367,226
AR,KLF5,Unknown,19460858,Eumetazoa,Opisthokonta,3,4,1,367,688
AR,KLK1,Unknown,11532861,Eumetazoa,Eumetazoa,4,4,0,367,3816
AR,KLK2,Unknown,11532861;16751804;20688158;9241247,Eumetazoa,Eumetazoa,4,4,0,367,3817
