Symbol,GeneID
NAB1,4664
EGLN2,112398
XIAP,331
ACRV1,56
TXNIP,10628
CLEC4C,170482
FGFR1,2260
BAG1,573
MTDH,92140
RIPK2,8767
PSMB9,5698
TCF3,6929
LTBP4,8425
SSX2,6757
NRL,4901
PLAC1,10761
SDC1,6382
CNMD,11061
LTF,4057
ITGB3,3690
CSN2,1447
CDKL5,6792
EXT1,2131
DGKG,1608
CORO1C,23603
TSHB,7252
CASP3,836
HIST1H2AE,3012
SYN1,6853
SMYD1,150572
STS,412
ARF1,375
WDFY4,57705
SUZ12,23512
APAF1,317
ANGPTL4,51129
TNFRSF21,27242
CNP,1267
MT1G,4495
FGL2,10875
SMURF2,64750
HGF,3082
CRABP1,1381
DSC2,1824
CD1D,912
UPF2,26019
CSF1,1435
ARNTL2,56938
LHX4,89884
DCC,1630
HNRNPD,3184
RFX5,5993
CD163,9332
EPB41L3,23136
KPNB1,3837
NFYB,4801
PIR,8544
HSF2,3298
ITGA6,3655
MYH9,4627
SMAD2,4087
AGT,183
ITGAD,3681
ESCO2,157570
NQO2,4835
CSNK1A1,1452
ALOX15,246
PCGF2,7703
CREG1,8804
LOX,4015
EAF2,55840
SLC10A2,6555
WWC1,23286
BTRC,8945
PTGFR,5737
MLLT10,8028
BST1,683
CSH1,1442
FMO3,2328
CDC5L,988
ITGA2B,3674
SNAI3,333929
SELP,6403
OTX1,5013
CHST4,10164
ADH6,130
ADORA2A,135
ZNF148,7707
GALNT3,2591
CYSLTR1,10800
CD46,4179
ZNF217,7764
RXRA,6256
NR2F1,7025
ADRA2B,151
SRC,6714
NFIL3,4783
ABCC6,368
SRD5A3,79644
CEACAM1,634
RRP1B,23076
ZNF160,90338
TBXT,6862
GUCA2B,2981
CD247,919
S100P,6286
CIAO1,9391
HNF4A,3172
PHF10,55274
URI1,8725
TIMP2,7077
SNIP1,79753
E4F1,1877
NFIX,4784
ARNT,405
SFRP1,6422
GREB1,9687
MEF2D,4209
HDAC8,55869
HBA2,3040
ADIPOR1,51094
DMPK,1760
KCTD11,147040
RFWD2,64326
HSF4,3299
SDC4,6385
ZNF175,7728
CEBPZ,10153
POLD2,5425
LEF1,51176
CCNT1,904
SMAD3,4088
NPM1,4869
HLA-DPB1,3115
ZNF76,7629
CNTNAP2,26047
CENPH,64946
DNAJC3,5611
LIN54,132660
RCC1,1104
NFYA,4800
CGB5,93659
LMX1B,4010
CDC25A,993
POMGNT1,55624
HPR,3250
SOX5,6660
TEAD1,7003
MCPH1,79648
MPZ,4359
UGT1A9,54600
FGF21,26291
WTAP,9589
MYH6,4624
FOXC2,2303
MEAF6,64769
GFI1B,8328
MRVI1,10335
FUBP1,8880
MSR1,4481
PER3,8863
GPNMB,10457
ERCC2,2068
FOXF1,2294
DRD1,1812
OLR1,4973
SLC9A3,6550
CCNC,892
NEUROD1,4760
TPH1,7166
GTF2A1,2957
POU1F1,5449
FOXA2,3170
MAFG,4097
PTTG1,9232
KLK10,5655
NES,10763
ING2,3622
LTA,4049
PSG7,5676
IRF6,3664
ZNF350,59348
NPPB,4879
MME,4311
FES,2242
THRA,7067
GAS2,2620
ADRA1A,148
VEGFA,7422
ELANE,1991
OPRM1,4988
TFAM,7019
DKK3,27122
PDE7A,5150
LHX3,8022
COL4A3,1285
PSMD3,5709
VEGFB,7423
DAPK1,1612
NAIP,4671
DHCR24,1718
BLK,640
NOS2,4843
CHD4,1108
TLX2,3196
RRM2B,50484
SCD5,79966
EGFR,1956
CPD,1362
EIF2AK2,5610
SLC25A27,9481
KDM2A,22992
DACT2,168002
HPSE,10855
ACOT7,11332
ASXL1,171023
SLC5A8,160728
CD24,100133941
TXN,7295
HK2,3099
