Symbol,GeneID
Pigr,18703
Abcc4,239273
Csf3,12985
Uhrf1bp1,224648
Hrh4,225192
Plk4,20873
Il24,93672
Sgk1,20393
Wnt4,22417
Cxcl2,20310
Duox2,214593
Ddb2,107986
Dct,13190
Ccl21b,100042493
Ampd1,229665
Cacna1c,12288
Syt1,20979
Pik3ca,18706
Sfpq,71514
Asrgl1,66514
Nfic,18029
Creb3l3,208677
Pbrm1,66923
Ndrg1,17988
Hnrnpk,15387
Dmrt3,240590
Stim1,20866
St8sia1,20449
Guca2a,14915
Gdnf,14573
Psme3,19192
Pitx3,18742
Hcfc1,15161
Slc20a1,20515
Bhlhe41,79362
Gzmb,14939
Flt4,14257
Tshz1,110796
Cdk5,12568
Adcy4,104110
Tcf7,21414
Dlx1,13390
Ifitm5,73835
Igf2,16002
Dusp1,19252
G6pc2,14378
Myod1,17927
Pla2g4a,18783
Ovol2,107586
Eif4e,13684
Cd80,12519
Mc2r,17200
Slc9a2,226999
Retsat,67442
Nppa,230899
Hoxb4,15412
Acrv1,11451
Il4,16189
Gad1,14415
Sstr2,20606
Vezf1,22344
Zfp148,22661
Itgb6,16420
Pik3r1,18708
Gsk3b,56637
Hnf1a,21405
Hoxa11,15396
Nphs1,54631
Pou4f2,18997
Epas1,13819
Prdx2,21672
Bcl9,77578
Abcg1,11307
Hoxd3,15434
Pitx2,18741
Trpm1,17364
Hsf4,26386
Jag1,16449
Pagr1a,67278
Tlr4,21898
Ptgs1,19224
Pml,18854
Dusp2,13537
Jak3,16453
Tnfaip3,21929
Gjd2,14617
Pkd1,18763
Rel,19696
Tnfsf11,21943
Bin1,30948
Ppp2r5c,26931
Isl1,16392
Kcnn3,140493
Nr2c2,22026
Map1lc3b,67443
Furin,18550
Col11a2,12815
Bclaf1,72567
Lhx2,16870
Ins2,16334
Igfbp6,16012
Bcat1,12035
Thrap3,230753
Mcts1,68995
Cflar,12633
Xiap,11798
Pygo2,68911
Rfxank,19727
Atf3,11910
Sis,69983
Gsc2,195333
Hsd3b1,15492
Cxcl12,20315
Tgfb1,21803
Adora2a,11540
Elk3,13713
Tph1,21990
Nrarp,67122
Fosl1,14283
Gypa,14934
Ccl20,20297
Foxl1,14241
Krt19,16669
Cald1,109624
Ube2i,22196
Mertk,17289
Cyp1b1,13078
Txnip,56338
Otx2,18424
Hist2h4,97122
H2-Ea-ps,100504404
Foxp3,20371
Zfp819,74400
Selenow,20364
Hey2,15214
St18,240690
Ids,15931
Onecut1,15379
Esrrb,26380
Hbb-b1,15129
Sema6a,20358
Tnfsf13b,24099
Mgmt,17314
Myh10,77579
Lmo3,109593
Sox6,20679
Wt1,22431
Tardbp,230908
Cyr61,16007
Ccne1,12447
Pou2af1,18985
Agtr1a,11607
Art1,11870
Hmgb2,97165
Il21,60505
Prox1,19130
Ager,11596
Lif,16878
Kif17,16559
Ssb,20823
Vim,22352
Npat,244879
Ttf2,74044
Ang2,11731
Tbx2,21385
Nr1h3,22259
Cbx5,12419
Aldh1a7,26358
Hdac7,56233
Adamts16,271127
Pwp1,103136
Ddx54,71990
Myc,17869
Zbtb7b,22724
Phgdh,236539
Rnf141,67150
Foxe3,30923
Rala,56044
Tbx19,83993
Stat2,20847
Il2,16183
Nes,18008
Fpr1,14293
Runx1t1,12395
Zbtb14,22666
Cdkn2a,12578
Birc5,11799
Polk,27015
Rfx1,19724
Fgf9,14180
Gls2,216456
Ngfr,18053
H2-Ab1,14961
Sall2,50524
Irak2,108960
Skp2,27401
Plin1,103968
Hmga2,15364
Insm1,53626
Il33,77125
Vcam1,22329
Apc,11789
Serpinb5,20724
Cav1,12389
Cyp1a2,13077
Reck,53614
Ifi204,15951
Stat4,20849
Folr1,14275
Mesp2,17293
Cryab,12955
Ptpru,19273
Pcyt1a,13026
Fbp1,14121
Phox2a,11859
Cyp17a1,13074
Slc6a3,13162
Grin2b,14812
Cxcl11,56066
Ets2,23872
Foxo3,56484
Axl,26362
Pck1,18534
Dlx3,13393
Klf11,194655
Gdf15,23886
Sox21,223227
Ctsk,13038
Ckap2,80986
Foxo1,56458
Trp63,22061
Pomc,18976
Cd8a,12525
Pdpn,14726
Shh,20423
Usp17le,625530
Notch2,18129
Nfib,18028
Ppara,19013
Dlk1,13386
Dntt,21673
Mcm2,17216
Cdkn2b,12579
Erf,13875
Ddr2,18214
Vegfa,22339
Sult1e1,20860
Cops5,26754
Mta1,116870
Pea15a,18611
Pde6b,18587
Chek2,50883
Il18r1,16182
Slc51a,106407
Dnm1,13429
Mixl1,27217
Bad,12015
Fabp1,14080
Ing4,28019
Dll4,54485
Sdc1,20969
Fezf2,54713
Hey1,15213
Dmrta1,242523
Ccnb1,268697
Coro1a,12721
Gast,14459
Ebf1,13591
Slco1b2,28253
Insl3,16336
Ostn,239790
Ucp3,22229
Tgfb1i1,21804
Prrc2a,53761
Ruvbl2,20174
Il6st,16195
Pla2g16,225845
Nphs2,170484
Ccl22,20299
Elf4,56501
Fgf2,14173
Rapsn,19400
Etv5,104156
Pou1f1,18736
Crisp3,11572
Nox4,50490
Esm1,71690
Prkra,23992
Pgk2,18663
Nr1d1,217166
Nfat5,54446
Fgf17,14171
Fos,14281
Rho,212541
Rlf,109263
Smarce1,57376
Id2,15902
Ccl19,24047
Aff1,17355
Tnnc1,21924
Igfbp5,16011
Mme,17380
Hoxa10,15395
Itga7,16404
Mgp,17313
Slc39a14,213053
Ngb,64242
Nanog,71950
Pax9,18511
Ddit4,74747
Ifnb1,15977
Timp3,21859
Slc12a3,20497
Il23r,209590
Mitf,17342
Acp5,11433
Slc11a1,18173
Smc3,13006
Pvr,52118
Ccna1,12427
Tuft1,22156
Lrp5,16973
Sox4,20677
Txnrd2,26462
Hoxa7,15404
Meox2,17286
Vsx2,12677
Map1a,17754
Nfatc3,18021
Vnn1,22361
Tbx6,21389
Dach2,93837
Hmbs,15288
Dbh,13166
Kcnip2,80906
Ltf,17002
Gstm2,14863
Dbi,13167
Rac2,19354
Foxl2,26927
Hsd3b4,15495
Gtf2ird1,57080
Insig1,231070
Des,13346
Pecam1,18613
Med8,80509
Nefl,18039
Casp6,12368
Sdha,66945
Aicda,11628
Bub1,12235
Pdk1,228026
B4galnt1,14421
Nr1d2,353187
E2f3,13557
Prdm16,70673
Wwp2,66894
Nr2c1,22025
Cyp26a1,13082
Bcr,110279
Abcd2,26874
Efnb2,13642
Pou3f3,18993
Pou4f3,18998
Zfp384,269800
Pklr,18770
Nhlh1,18071
