,Tf,Tg,TF_age,Tg_age
0,YAL051W,YAL016W,,
1,YAL051W,YAL034WA,,
2,YAL051W,YAL035CA,,
3,YAL051W,YAL035W,,
4,YAL051W,YAL036C,,
5,YAL051W,YBL089W,,
6,YAL051W,YBR019C,,
7,YAL051W,YBR020W,,
8,YAL051W,YBR127C,,
9,YAL051W,YBR150C,,
10,YAL051W,YBR151W,,
11,YAL051W,YBR187W,,
12,YAL051W,YBR214W,,
13,YAL051W,YCR020CA,,
14,YAL051W,YCR081W,,
15,YAL051W,YDR048C,,
16,YAL051W,YDR207C,,
17,YAL051W,YDR208W,,
18,YAL051W,YDR256C,,
19,YAL051W,YEL011W,,
20,YAL051W,YER015W,,
21,YAL051W,YGL143C,,
22,YAL051W,YGL201C,,
23,YAL051W,YGL235W,,
24,YAL051W,YGL237C,,
25,YAL051W,YGR109C,,
26,YAL051W,YGR109WA,,
27,YAL051W,YGR109WB,,
28,YAL051W,YGR188C,,
29,YAL051W,YHL017W,,Eukaryota
30,YAL051W,YHR041C,,
31,YAL051W,YHR042W,,
32,YAL051W,YHR117W,,
33,YAL051W,YIL069C,,
34,YAL051W,YIL113W,,
35,YAL051W,YIL114C,,
36,YAL051W,YIL120W,,
37,YAL051W,YJL222W,,
38,YAL051W,YJR069C,,
39,YAL051W,YJR071W,,
40,YAL051W,YKL146W,,
41,YAL051W,YKL148C,,
42,YAL051W,YLR089C,,
43,YAL051W,YLR090W,,
44,YAL051W,YLR174W,,
45,YAL051W,YLR176C,,
46,YAL051W,YLR177W,,Dikarya
47,YAL051W,YLR373C,,
48,YAL051W,YLR375W,,
49,YAL051W,YML072C,,
50,YAL051W,YMR043W,,
51,YAL051W,YNL299W,,
52,YAL051W,YNL321W,,
53,YAL051W,YNL322C,,
54,YAL051W,YOL083W,,
55,YAL051W,YOR042W,,
56,YAL051W,YPL016W,,
57,YAL051W,YPL017C,,
58,YAL051W,YPL262W,,
59,YAL051W,YPL263C,,
60,YAL051W,YPR148C,,Ascomycota
61,YBL005W,YBL006C,,
62,YBL005W,YBR008C,,
63,YBL005W,YDR011W,,
64,YBL005W,YDR072C,,
65,YBL005W,YDR406W,,
66,YBL005W,YDR415C,,Euk+Bac
67,YBL005W,YDR416W,,
68,YBL005W,YDR468C,,
69,YBL005W,YDR469W,,
70,YBL005W,YGR281W,,
71,YBL005W,YHR064C,,
72,YBL005W,YJL219W,,
73,YBL005W,YJR007W,,
74,YBL005W,YKL077W,,
75,YBL005W,YML093W,,
76,YBL005W,YML095CA,,
77,YBL005W,YML096W,,Eukaryota
78,YBL005W,YML097C,,
79,YBL005W,YMR193W,,
80,YBL005W,YMR258C,,
81,YBL005W,YNL258C,,
82,YBL005W,YNR007C,,
83,YBL005W,YNR008W,,
84,YBL005W,YOL083W,,
85,YBL005W,YOL156W,,
86,YBL005W,YOR148C,,
87,YBL005W,YOR153W,,
88,YBL005W,YOR233W,,
89,YBL005W,YOR328W,,
90,YBL054W,YIR030C,,
91,YBL103C,YAL062W,,
92,YBL103C,YBL043W,,
93,YBL103C,YBR104W,,
94,YBL103C,YCR005C,,
95,YBL103C,YCR018CA,,
96,YBL103C,YCR019W,,
97,YBL103C,YCR020CA,,
98,YBL103C,YCR021C,,
99,YBL103C,YCR090C,,Eukaryota
100,YBL103C,YCR095C,,
101,YBL103C,YCR096C,,
102,YBL103C,YCR097W,,
103,YBL103C,YCR105W,,
104,YBL103C,YCR107W,,
105,YBL103C,YDL013W,,
106,YBL103C,YDL044C,,
107,YBL103C,YDL066W,,
108,YBL103C,YDL067C,,
109,YBL103C,YDL182W,,
110,YBL103C,YDR040C,,
111,YBL103C,YDR041W,,
112,YBL103C,YDR042C,,
113,YBL103C,YDR067C,,
114,YBL103C,YDR068W,,
115,YBL103C,YDR077W,,
116,YBL103C,YDR078C,,
117,YBL103C,YDR079W,,
118,YBL103C,YDR084C,,
119,YBL103C,YDR127W,,
120,YBL103C,YDR179C,,
121,YBL103C,YDR179WA,,
122,YBL103C,YDR210WD,,
123,YBL103C,YDR314C,,
124,YBL103C,YDR317W,,
125,YBL103C,YDR482C,,
126,YBL103C,YDR483W,,
127,YBL103C,YDR508C,,
128,YBL103C,YDR510W,,
129,YBL103C,YDR519W,,
130,YBL103C,YDR522C,,
131,YBL103C,YDR540C,,
132,YBL103C,YEL010W,,
133,YBL103C,YEL050C,,
134,YBL103C,YEL071W,,
135,YBL103C,YER002W,,
136,YBL103C,YER013W,,
137,YBL103C,YER044CA,,
138,YBL103C,YER069W,,
139,YBL103C,YER129W,,
140,YBL103C,YER138C,,
141,YBL103C,YFR017C,,
142,YBL103C,YGL255W,,
143,YBL103C,YGR050C,,
144,YBL103C,YGR071C,,
145,YBL103C,YGR072W,,
146,YBL103C,YGR142W,,
147,YBL103C,YGR218W,,
148,YBL103C,YGR271CA,,
149,YBL103C,YGR272C,,
150,YBL103C,YHR018C,,
151,YBL103C,YHR161C,,
152,YBL103C,YHR162W,,
153,YBL103C,YIL056W,,
154,YBL103C,YIR029W,,
155,YBL103C,YJL088W,,
156,YBL103C,YJR011C,,
157,YBL103C,YJR109C,,
158,YBL103C,YJR110W,,
159,YBL103C,YJR148W,,
