Gene_ID,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces
YDL003W,1,3,0,0,1,0,0,0,0,0,1
YKR060W,0,2,0,0,1,0,0,0,0,0,1
YMR254C,0,0,0,0,0,0,0,0,0,0,1
YEL059W,0,0,0,0,0,0,0,0,0,0,1
YHR030C,4,8,0,0,1,0,0,0,0,1,1
YDL236W,1,4,0,0,1,0,0,0,0,0,1
YBR214W,0,2,0,0,1,0,0,0,0,1,1
YGR120C,0,0,0,0,0,0,0,0,0,0,1
YKL086W,2,3,0,0,1,0,0,0,0,0,1
YBR237W,3,8,0,0,1,0,0,0,0,1,1
YER176W,2,7,0,0,1,0,0,0,0,0,1
YDR531W,2,3,0,0,1,0,0,0,0,0,1
YPL165C,2,6,0,0,1,0,0,0,0,1,1
YGL059W,1,4,0,0,1,0,0,0,0,0,1
YBR080C,5,8,0,0,1,0,0,0,0,1,1
YOL012C,4,6,0,0,1,0,0,0,0,1,1
YOR298W,0,0,0,0,0,0,0,0,0,0,1
YLR461W,0,0,0,0,0,0,0,0,0,0,1
YBR162C,0,0,0,0,1,0,0,0,0,0,1
YPL187W,0,0,0,0,0,0,0,0,0,0,1
YDL070W,3,7,0,0,1,0,0,0,0,1,1
YLR213C,2,0,0,0,0,0,0,0,0,1,1
YMR004W,1,4,0,0,1,0,0,0,0,1,1
YMR032W,1,2,0,0,1,0,0,0,0,0,1
YML086C,2,2,0,0,1,0,0,0,0,1,1
YCR087W,1,3,0,0,1,0,0,0,0,0,1
YKL011C,0,0,0,0,0,0,0,0,0,0,1
YDL075W,2,4,0,0,1,0,0,0,0,1,1
YBL108W,0,0,0,0,0,0,0,0,0,0,1
YPL123C,2,3,0,0,0,0,0,0,0,1,1
YAR042W,3,6,0,0,1,0,0,0,0,0,1
YMR240C,0,1,0,0,1,0,0,0,0,0,1
YOR153W,3,6,0,0,1,0,0,0,0,1,1
YKL137W,1,0,0,0,0,0,0,0,0,0,1
YIL045W,0,5,0,0,0,0,0,0,0,0,1
YLR396C,2,6,0,0,1,0,0,0,0,0,1
YOR375C,3,6,0,0,1,0,0,0,0,0,1
YDL142C,2,4,0,0,1,0,0,0,0,0,1
YDR403W,0,0,0,0,0,0,0,0,0,0,1
YHL035C,4,8,0,0,1,0,0,0,0,1,1
YIL102C,0,0,0,0,0,0,0,0,0,0,1
YKL072W,0,0,0,0,0,0,0,0,0,0,1
YKR003W,2,3,0,0,1,0,0,0,0,0,1
YMR064W,0,0,0,0,0,0,0,0,0,1,1
YJR148W,2,3,0,0,1,0,0,0,0,0,1
YML075C,3,4,0,0,1,0,0,0,0,0,1
YMR027W,0,4,0,0,1,0,0,0,0,0,1
YDL216C,3,5,0,0,1,0,0,0,0,1,1
YML133C,2,0,0,0,0,0,0,0,0,1,1
YBR093C,1,4,0,0,1,0,0,0,0,0,1
YLR453C,0,0,0,0,0,0,0,0,0,0,1
YAL037W,0,0,0,0,0,0,0,0,0,0,1
YJL219W,2,7,0,0,1,0,0,0,0,0,1
YDL135C,2,3,0,0,1,0,0,0,0,0,1
YHR109W,0,0,0,0,0,0,0,0,0,1,1
YJR133W,0,0,0,0,1,0,0,0,0,0,1
YJL042W,0,0,0,0,0,0,0,0,0,0,1
YLR344W,2,4,0,0,1,0,0,0,0,0,1
YPR180W,3,8,0,0,1,0,0,0,0,1,1
YDR519W,3,4,0,0,1,0,0,0,0,1,1
YBR295W,3,6,0,0,1,0,0,0,0,0,1
YJR077C,2,8,0,0,1,0,0,0,0,1,1
YER103W,6,7,0,0,1,0,0,0,0,1,1
YOR246C,2,7,0,0,1,0,0,0,0,0,1
YOR099W,0,0,0,0,1,0,0,0,0,0,1
YHR193C,2,5,0,0,1,0,0,0,0,1,1
YER182W,0,2,0,0,1,0,0,0,0,0,1
YER099C,3,4,0,0,1,0,0,0,0,0,1
YLR023C,2,3,0,0,1,0,0,0,0,1,1
YDR085C,0,0,0,0,0,0,0,0,0,0,1
YLR363C,0,0,0,0,0,0,0,0,0,0,1
YLR440C,0,0,0,0,0,0,0,0,0,0,1
YNL238W,1,4,0,0,1,0,0,0,0,0,1
YFL012W,0,0,0,0,0,0,0,0,0,0,1
YER153C,0,0,0,0,0,0,0,0,0,0,1
YOL147C,0,1,0,0,1,0,0,0,0,0,1
YKR051W,2,4,0,0,1,0,0,0,0,0,1
YOR184W,2,3,0,0,1,0,0,0,0,0,1
YDR064W,3,6,0,0,1,0,0,0,0,0,1
YPL251W,0,0,0,0,0,0,0,0,0,0,1
YNL035C,3,5,0,0,1,0,0,0,0,1,1
YER098W,3,8,0,0,1,0,0,0,0,1,1
YOR148C,0,3,0,0,1,0,0,0,0,1,1
YDL182W,1,0,0,0,1,0,0,0,0,0,1
YFL053W,1,3,0,0,1,0,0,0,0,0,1
YOR226C,2,2,0,0,1,0,0,0,0,1,1
YCL034W,0,0,0,0,1,0,0,0,0,0,1
YHR103W,0,0,0,0,0,0,0,0,0,1,1
YFR045W,2,8,0,0,1,0,0,0,0,1,1
YDR037W,3,3,0,0,1,0,0,0,0,0,1
YGR144W,2,0,0,0,1,0,0,0,0,1,1
YNL322C,0,0,0,0,0,0,0,0,0,0,1
YPL094C,0,3,0,0,1,0,0,0,0,1,1
YDR359C,0,1,0,0,1,0,0,0,0,1,1
YHR081W,0,0,0,0,0,0,0,0,0,0,1
YER087W,1,3,0,0,1,0,0,0,0,0,1
YBL072C,3,5,0,0,1,0,0,0,0,0,1
YNL130C,2,5,0,0,1,0,0,0,0,0,1
YBR116C,2,0,0,0,1,0,0,0,0,0,1
YBR286W,0,3,0,0,0,0,0,0,0,0,1
YMR038C,2,3,0,0,1,0,0,0,0,1,1
YER079W,0,0,0,0,0,0,0,0,0,0,1
YOL003C,2,6,0,0,1,0,0,0,0,1,1
YNL041C,2,4,0,0,1,0,0,0,0,1,1
YHR156C,0,2,0,0,1,0,0,0,0,0,1
YMR315W,1,2,0,0,1,0,0,0,0,0,1
YML053C,0,0,0,0,0,0,0,0,0,0,1
YKL150W,3,5,0,0,1,0,0,0,0,1,1
YOR368W,0,0,0,0,1,0,0,0,0,1,1
YLR180W,3,4,0,0,1,0,0,0,0,0,1
YNL097C,2,4,0,0,1,0,0,0,0,1,1
YPR051W,2,5,0,0,1,0,0,0,0,0,1
YEL030W,6,7,0,0,1,0,0,0,0,1,1
YER167W,0,0,0,0,0,0,0,0,0,0,1
YGR033C,0,0,0,0,0,0,0,0,0,1,1
YMR318C,2,6,0,0,1,0,0,0,0,0,1
YJR073C,1,3,0,0,1,0,0,0,0,1,1
YCL039W,2,7,0,0,1,0,0,0,0,0,1
YGR237C,0,0,0,0,0,0,0,0,0,0,1
YNL268W,0,1,0,0,1,0,0,0,0,0,1
YMR125W,3,7,0,0,1,0,0,0,0,1,1
YLL028W,0,0,0,0,1,0,0,0,0,0,1
YBR094W,0,6,0,0,1,0,0,0,0,0,1
YIL121W,0,0,0,0,1,0,0,0,0,0,1
YKL220C,0,0,0,0,1,0,0,0,0,1,1
YNL126W,2,3,0,0,1,0,0,0,0,0,1
YPL193W,0,0,0,0,0,0,0,0,0,0,1
YBR132C,0,2,0,0,1,0,0,0,0,0,1
YCL035C,3,4,0,0,1,0,0,0,0,0,1
YCR065W,0,7,0,0,1,0,0,0,0,0,1
YGR166W,0,0,0,0,0,0,0,0,0,0,1
YOL102C,0,3,0,0,1,0,0,0,0,0,1
YLR108C,0,0,0,0,0,0,0,0,0,0,1
YGL099W,3,7,0,0,1,0,0,0,0,1,1
YNL299W,1,5,0,0,1,0,0,0,0,1,1
YLR133W,2,4,0,0,1,0,0,0,0,0,1
YNL058C,0,0,0,0,0,0,0,0,0,0,1
YOL123W,3,8,0,0,1,0,0,0,0,1,1
YLR462W,0,0,0,0,0,0,0,0,0,0,1
YDL186W,0,0,0,0,0,0,0,0,0,0,1
YJL145W,1,3,0,0,1,0,0,0,0,1,1
YML123C,2,5,0,0,1,0,0,0,0,0,1
YGR281W,4,8,0,0,1,0,0,0,0,1,1
YPL213W,1,7,0,0,1,0,0,0,0,1,1
YJR110W,2,5,0,0,1,0,0,0,0,0,1
YHR020W,2,3,0,0,1,0,0,0,0,0,1
YGL210W,4,9,0,0,1,0,0,0,0,1,1
YOR043W,0,0,0,0,1,0,0,0,0,0,1
YBL060W,0,3,0,0,1,0,0,0,0,1,1
YLR193C,1,5,0,0,1,0,0,0,0,0,1
YJR093C,1,4,0,0,1,0,0,0,0,1,1
YNL239W,0,4,0,0,0,0,0,0,0,0,1
YML070W,1,3,0,0,1,0,0,0,0,0,1
YBL036C,1,2,0,0,1,0,0,0,0,0,1
YOR233W,4,8,0,0,1,0,0,0,0,1,1
YGR075C,0,0,0,0,0,0,0,0,0,0,1
YHR002W,3,8,0,0,1,0,0,0,0,1,1
YDR268W,2,2,0,0,1,0,0,0,0,0,1
YEL020C,3,4,0,0,1,0,0,0,0,0,1
YPR009W,0,0,0,0,0,0,0,0,0,0,1
YNL006W,3,11,0,0,1,0,0,0,0,1,1
YBL026W,3,3,0,0,1,0,0,0,0,0,1
YHR064C,6,7,0,0,1,0,0,0,0,1,1
YIL096C,1,0,0,0,1,0,0,0,0,0,1
YFR039C,0,0,0,0,0,0,0,0,0,1,1
YPR020W,0,0,0,0,0,0,0,0,0,0,1
YDL083C,3,4,0,0,1,0,0,0,0,1,1
YER177W,4,6,0,0,1,0,0,0,0,0,1
YBR292C,0,0,0,0,0,0,0,0,0,0,1
YBL056W,3,5,0,0,1,0,0,0,0,0,1
