,Tf,Tg,TF_age,Tg_age
0,YAL051W,YAL016W,Saccharomyceta,Eukaryota
1,YAL051W,YAL034WA,Saccharomyceta,
2,YAL051W,YAL035CA,Saccharomyceta,
3,YAL051W,YAL035W,Saccharomyceta,Euk_Archaea
4,YAL051W,YAL036C,Saccharomyceta,Cellular_organisms
5,YAL051W,YBL089W,Saccharomyceta,Eukaryota
6,YAL051W,YBR019C,Saccharomyceta,Cellular_organisms
7,YAL051W,YBR020W,Saccharomyceta,Euk+Bac
8,YAL051W,YBR127C,Saccharomyceta,Cellular_organisms
9,YAL051W,YBR150C,Saccharomyceta,Saccharomyceta
10,YAL051W,YBR151W,Saccharomyceta,Eukaryota
11,YAL051W,YBR187W,Saccharomyceta,Euk+Bac
12,YAL051W,YBR214W,Saccharomyceta,Ascomycota
13,YAL051W,YCR020CA,Saccharomyceta,
14,YAL051W,YCR081W,Saccharomyceta,Ascomycota
15,YAL051W,YDR048C,Saccharomyceta,
16,YAL051W,YDR207C,Saccharomyceta,Saccharomyceta
17,YAL051W,YDR208W,Saccharomyceta,Eukaryota
18,YAL051W,YDR256C,Saccharomyceta,Euk+Bac
19,YAL051W,YEL011W,Saccharomyceta,Euk+Bac
20,YAL051W,YER015W,Saccharomyceta,Eukaryota
21,YAL051W,YGL143C,Saccharomyceta,Euk+Bac
22,YAL051W,YGL201C,Saccharomyceta,Euk_Archaea
23,YAL051W,YGL235W,Saccharomyceta,
24,YAL051W,YGL237C,Saccharomyceta,Eukaryota
25,YAL051W,YGR109C,Saccharomyceta,Eukaryota
26,YAL051W,YGR109WA,Saccharomyceta,
27,YAL051W,YGR109WB,Saccharomyceta,
28,YAL051W,YGR188C,Saccharomyceta,Eukaryota
29,YAL051W,YHL017W,Saccharomyceta,Eukaryota
30,YAL051W,YHR041C,Saccharomyceta,Saccharomyceta
31,YAL051W,YHR042W,Saccharomyceta,Euk+Bac
32,YAL051W,YHR117W,Saccharomyceta,Eukaryota
33,YAL051W,YIL069C,Saccharomyceta,
34,YAL051W,YIL113W,Saccharomyceta,Eukaryota
35,YAL051W,YIL114C,Saccharomyceta,Eukaryota
36,YAL051W,YIL120W,Saccharomyceta,Cellular_organisms
37,YAL051W,YJL222W,Saccharomyceta,Eukaryota
38,YAL051W,YJR069C,Saccharomyceta,Cellular_organisms
39,YAL051W,YJR071W,Saccharomyceta,
40,YAL051W,YKL146W,Saccharomyceta,Eukaryota
41,YAL051W,YKL148C,Saccharomyceta,Cellular_organisms
42,YAL051W,YLR089C,Saccharomyceta,Eukaryota
43,YAL051W,YLR090W,Saccharomyceta,Euk+Bac
44,YAL051W,YLR174W,Saccharomyceta,Euk+Bac
45,YAL051W,YLR176C,Saccharomyceta,Opisthokonta
46,YAL051W,YLR177W,Saccharomyceta,Dikarya
47,YAL051W,YLR373C,Saccharomyceta,
48,YAL051W,YLR375W,Saccharomyceta,Saccharomyceta
49,YAL051W,YML072C,Saccharomyceta,Eukaryota
50,YAL051W,YMR043W,Saccharomyceta,Eukaryota
