Tf,distance
PRNP,Hominidae
THBD,Hominidae
TUBB3,Vertebrata
HPR,Vertebrata
HP,Vertebrata
HSPA1B,Amniota
HSPA1A,Amniota
FMO3,Vertebrata
CEACAM1,Mammalia
CEACAM5,Mammalia
SPRR1B,Mammalia
SPRR1A,Mammalia
GP1BA,Vertebrata
VGF,Vertebrata
ANXA8,Opisthokonta
TCF7L2,Vertebrata
MED1,Eumetazoa
HERC2,Eukaryota
OCA2,Vertebrata
GABRB3,Vertebrata
ERCC5,Hominidae
ATP1B1,Opisthokonta
TP63,Opisthokonta
BCL6,Opisthokonta
SOX14,Eukaryota
LMO4,Eumetazoa
TGFBR3,Vertebrata
GFI1,Eumetazoa
DR1,Eukaryota
GADD45A,Vertebrata
AATF,Eukaryota
KCNJ11,Vertebrata
KCNH2,Opisthokonta
ERBB2,Vertebrata
PELO,Eukaryota
DACT1,Vertebrata
CASP1,Eumetazoa
TPO,Opisthokonta
UGCG,Eukaryota
FZD1,Hominidae
CD99,Primates
PAK1,Eukaryota
DEFB4A,Primates
SPRR2A,Primates
IL32,Hominidae
PRM1,Hominidae
RBM38,> Eukaryota
MAPKAPK3,Vertebrata
GATA2,Eumetazoa
TBXT,Opisthokonta
LHCGR,Opisthokonta
ITGA9,Opisthokonta
MSH6,Eukaryota
NRXN1,Vertebrata
THBS2,Eumetazoa
BAG2,Eukaryota
DST,Vertebrata
GCLC,Vertebrata
NRCAM,Vertebrata
AKR1B1,> Eukaryota
FOXP2,Vertebrata
ITGA5,Opisthokonta
TFCP2,Opisthokonta
NR4A1,Eumetazoa
HSPB1,Eumetazoa
GHR,Vertebrata
IL6R,Vertebrata
IL2RG,Vertebrata
GADD45G,Vertebrata
OXT,Vertebrata
AVP,Vertebrata
SMYD1,> Eukaryota
FABP1,Opisthokonta
ATXN2,Vertebrata
SEMA6A,Opisthokonta
CDO1,Eukaryota
BHMT,Opisthokonta
FBN1,Opisthokonta
FGF7,Eumetazoa
EPO,Vertebrata
EFNB3,Mammalia
TIMP3,Opisthokonta
ETV6,Vertebrata
SLC5A8,Opisthokonta
RECK,Opisthokonta
TGFBR1,Eumetazoa
PLAG1,Vertebrata
F3,Vertebrata
ST3GAL3,Vertebrata
MTF2,Opisthokonta
GTF2B,Eukaryota
ATF4,Eumetazoa
PDGFB,Vertebrata
GIPR,Vertebrata
DMPK,Vertebrata
FOXA3,Vertebrata
GYPA,Mammalia
GYPB,Mammalia
FHIT,Mammalia
PPP2R2B,> Eukaryota
MAVS,Vertebrata
SLPI,Mammalia
SEMG1,Primates
NPHS1,Eumetazoa
PON2,Vertebrata
PON1,Vertebrata
ELF1,Vertebrata
CYP24A1,Vertebrata
ACE2,Vertebrata
PIR,Vertebrata
VEGFD,Vertebrata
GRPR,Vertebrata
FMN2,Opisthokonta
DBI,Opisthokonta
EN1,Eumetazoa
PKNOX1,Opisthokonta
ITGAV,Opisthokonta
PLSCR1,Opisthokonta
MMP13,Vertebrata
ZNF350,Mammalia
ZNF175,Mammalia
KLK4,Mammalia
KLK2,Vertebrata
KLK3,Vertebrata
KLK1,Primates
SPIB,Vertebrata
NR1H2,Eumetazoa
FCGRT,Vertebrata
SCN9A,Vertebrata
FAP,Vertebrata
MAOA,Eukaryota
CCL5,Vertebrata
KLF13,Eumetazoa
UMOD,Opisthokonta
HHEX,Mammalia
JAG1,Vertebrata
FOXC1,Primates
FOXQ1,Hominidae
IRF4,Opisthokonta
IGFBP3,Vertebrata
IGFBP1,Vertebrata
DSG4,Vertebrata
DSC2,Vertebrata
CDH2,Vertebrata
LAMA3,Vertebrata
BCL2,Opisthokonta
HES6,Vertebrata
PER2,Vertebrata
LTF,Vertebrata
CDC20,Opisthokonta
AIRE,Vertebrata
PLK3,Vertebrata
IL12A,Vertebrata
TAL1,Vertebrata
COL4A3,Vertebrata
ONECUT1,Vertebrata
MAD1L1,Opisthokonta
CBX7,Vertebrata
TOP3A,> Eukaryota
TAC1,Vertebrata
ASNS,Opisthokonta
CCNB2,Opisthokonta
HOXB4,Vertebrata
HOXB7,Vertebrata
HOXB8,Vertebrata
HOXB13,Vertebrata
MED15,Eukaryota
MEOX2,Eumetazoa
ETV1,Vertebrata
HDAC11,Opisthokonta
ERAP2,Opisthokonta
LNPEP,Opisthokonta
SETBP1,Eukaryota
CENPH,Eukaryota
MAP4,Vertebrata
PREB,Opisthokonta
PSMB9,Vertebrata
OPRM1,Vertebrata
ALDOA,Opisthokonta
MAZ,Vertebrata
PKP3,Opisthokonta
TPH1,Vertebrata
CCNE1,> Eukaryota
ABCA1,Eukaryota
REST,Vertebrata
B4GALT1,Eumetazoa
TGFBI,Eumetazoa
NCBP1,Opisthokonta
HOPX,Eukaryota
SNAPC1,Vertebrata
SPRY1,Eumetazoa
FGF2,Eumetazoa
PHOX2B,Vertebrata
CCNA2,> Eukaryota
FGFBP1,Vertebrata
PROM1,Opisthokonta
PRSS50,Mammalia
FUS,Vertebrata
MYH11,Vertebrata
SUZ12,Opisthokonta
KLF12,Opisthokonta
DACH1,Eumetazoa
MCM7,> Eukaryota
AURKB,Vertebrata
PPARGC1A,Vertebrata
POU4F1,Primates
NFYB,Eukaryota
PODXL,Vertebrata
SLC26A3,Vertebrata
PLB1,Eukaryota
PRKCE,Eumetazoa
GRM2,Opisthokonta
OXTR,Vertebrata
PTPRG,Vertebrata
TGFA,Vertebrata
HDGF,Vertebrata
MEF2D,Vertebrata
NDUFV1,Vertebrata
HAX1,Eukaryota
S100A4,Vertebrata
S100A10,Vertebrata
