ensembl_id,gene_age,gene_Interval
YDR301W,34,0-69
YDR302W,34,0-69
YDR303C,163,114-212
YDR304C,1488,1480-1496
YDR305C,1488,1480-1496
YDR306C,1488,1480-1496
YDR307W,1080,1055-1105
YDR308C,1080,1055-1105
YDR309C,163,114-212
YDR310C,163,114-212
YDR311W,163,114-212
YDR312W,>4290,>4290
YDR313C,>4290,>4290
YDR314C,105,97-114
YDR315C,105,97-114
YDR316W,105,97-114
YDR317W,105,97-114
YDR318W,105,97-114
YDR319C,105,97-114
YDR320C,105,97-114
YDR320C-A,105,97-114
YDR321W,447,304-590
YDR322W,447,304-590
YDR322C-A,447,304-590
YDR323C,447,304-590
YDR324C,447,304-590
YDR325W,447,304-590
YDR326C,1488,1480-1496
YDR328C,1488,1480-1496
YDR329C,1488,1480-1496
YDR330W,1488,1480-1496
YDR331W,1488,1480-1496
YDR332W,1488,1480-1496
YDR333C,1488,1480-1496
YDR334W,1488,1480-1496
YDR335W,1488,1480-1496
YDR336W,1488,1480-1496
YDR337W,1488,1480-1496
YDR338C,1080,1055-1105
YDR339C,1080,1055-1105
YDR341C,656,590-723
YDR342C,92,92-93
YDR343C,92,92-93
YDR345C,447,304-590
YDR346C,1021,987-1055
YDR347W,1021,987-1055
YDR348C,770,723-817
YDR349C,770,723-817
YDR350C,770,723-817
YDR351W,447,304-590
YDR352W,1080,1055-1105
YDR353W,1488,1480-1496
YDR354W,1488,1480-1496
YDR356W,1488,1480-1496
YDR357C,1488,1480-1496
YDR358W,1292,1105-1480
YDR359C,1292,1105-1480
YDR361C,1292,1105-1480
YDR362C,1292,1105-1480
YDR363W,1292,1105-1480
YDR363W-A,1292,1105-1480
YDR364C,1292,1105-1480
YDR365C,1292,1105-1480
YDR367W,1292,1105-1480
YDR368W,770,723-817
YDR369C,770,723-817
YDR370C,770,723-817
YDR371W,770,723-817
YDR372C,770,723-817
YDR373W,1488,1480-1496
YDR374C,1488,1480-1496
YDR375C,1488,1480-1496
YDR376W,1488,1480-1496
YDR377W,1488,1480-1496
