Gene,modeAge
YMR084W,Cellular_organisms
YFL026W,Ascomycota
YPL228W,Dikarya
YPL081W,Euk_Archaea
YDR204W,Eukaryota
YAR009C,Dikarya
YLR466W,Saccharomyceta
YLR421C,Saccharomyceta
YLR437C,Saccharomyceta
YJR048W,Euk+Bac
YEL039C,Euk+Bac
YFR033C,Saccharomyceta
YDR529C,Opisthokonta
YML054C,Euk+Bac
YOL086C,Euk+Bac
YMR303C,Euk+Bac
YJR009C,Euk+Bac
YGR192C,Euk+Bac
YJL052W,Euk+Bac
YNL052W,Dikarya
YIL111W,Opisthokonta
YHR051W,Opisthokonta
YKR066C,Eukaryota
YJR104C,Cellular_organisms
YHR008C,Cellular_organisms
YER055C,Cellular_organisms
YBR160W,Eukaryota
YAL038W,Cellular_organisms
YCR012W,Cellular_organisms
YJR057W,Cellular_organisms
YBR093C,Euk+Bac
YIL162W,Euk+Bac
YMR297W,Eukaryota
YPL111W,Euk+Bac
YCL030C,Cellular_organisms
YBR011C,Eukaryota
YJR121W,Euk+Bac
YNR001C,Euk+Bac
YER090W,Cellular_organisms
YDR007W,Cellular_organisms
YGR254W,Cellular_organisms
YHR174W,Cellular_organisms
YER086W,Euk+Bac
YGL026C,Cellular_organisms
YKL211C,Cellular_organisms
YDR050C,Euk+Bac
YKL152C,Cellular_organisms
YGR264C,Cellular_organisms
YDL181W,Saccharomyceta
YOR101W,Eukaryota
YNL098C,Eukaryota
YFL038C,Eukaryota
YPL187W,Saccharomyceta
YDR224C,Eukaryota
YBL002W,Eukaryota
YDR382W,Eukaryota
YGL103W,Euk_Archaea
YML024W,Euk_Archaea
YFL037W,Eukaryota
YPL240C,Euk+Bac
YOR187W,Euk+Bac
YEL009C,Saccharomyceta
YEL021W,Eukaryota
YJR109C,Cellular_organisms
YGL187C,Eukaryota
YLR395C,Saccharomyceta
YMR300C,Cellular_organisms
YDL140C,Cellular_organisms
YOR116C,Cellular_organisms
YHR018C,Cellular_organisms
YDR408C,Cellular_organisms
YCL018W,Euk+Bac
YBR020W,Euk+Bac
YPL248C,Dikarya
YML051W,Euk+Bac
YBR019C,Cellular_organisms
YGL031C,Eukaryota
YOL127W,Cellular_organisms
YJL189W,Eukaryota
YMR056C,Eukaryota
YOL006C,Eukaryota
YLL018C,Cellular_organisms
YDR268W,Euk+Bac
YFR053C,Euk+Bac
YGL253W,Euk+Bac
YEL063C,Cellular_organisms
YDL164C,Cellular_organisms
YNL055C,Eukaryota
YDR225W,Eukaryota
YBL003C,Eukaryota
YGL008C,Cellular_organisms
YOR386W,Cellular_organisms
YML099C,Saccharomyceta
YJL088W,Cellular_organisms
YBR021W,Cellular_organisms
YLR340W,Euk_Archaea
YOL039W,Eukaryota
YGR157W,Eukaryota
YJR073C,Eukaryota
YDR172W,Eukaryota
YPL078C,Opisthokonta
YER091C,Euk+Bac
YGL147C,Cellular_organisms
