Gene,modeAge
E2F8,Eukaryota
TAPBP,Vertebrata
HLA-DQB2,Vertebrata
BDP1,Eukaryota
IFITM5,Vertebrata
MUC3A,Mammalia
AHRR,Eumetazoa
CSNK2B,Eukaryota
TCF19,Vertebrata
MICB,Vertebrata
SOX5,Eumetazoa
CYFIP2,Eumetazoa
DNASE2,Eukaryota
SGK1,Eukaryota
ACOT7,Cellular_organisms
HAX1,Eumetazoa
AIP,Eukaryota
LGALS9,Eumetazoa
HRK,Mammalia
TLR4,Vertebrata
APBB1,Eumetazoa
TNFRSF10A,Vertebrata
PSMD11,Eukaryota
MEN1,Eukaryota
TAF4,Eukaryota
RFXAP,Eumetazoa
HIP1,Eukaryota
TNFRSF11B,Eumetazoa
ETV2,Mammalia
ARNTL,Eumetazoa
PIK3CD,Eukaryota
PDHX,Euk+Bac
FOXE1,Eumetazoa
P2RY10,Vertebrata
PLK4,Eumetazoa
MEIS1,Eukaryota
NR5A2,Eumetazoa
BIN1,Eumetazoa
FAAH,Opisthokonta
SOX1,Eumetazoa
CCL21,Vertebrata
PODXL,Vertebrata
PIR,Cellular_organisms
CCL22,Mammalia
NFIB,Eumetazoa
E2F3,Eukaryota
UBE2C,Eukaryota
ACACB,Eukaryota
SCD,Euk+Bac
ARID1A,Eumetazoa
BHLHE40,Vertebrata
SOCS2,Eumetazoa
SOCS7,Eumetazoa
ADGRB1,Vertebrata
SOCS3,Eumetazoa
RFXANK,Eumetazoa
ADAM10,Opisthokonta
PTGES,Euk+Bac
APAF1,Euk+Bac
PDCD5,Euk_Archaea
TERT,Eukaryota
HSD17B6,Euk+Bac
CHEK1,Eukaryota
TNFRSF10B,Vertebrata
MEIS2,Eukaryota
TCERG1,Eukaryota
NDC80,Eukaryota
NRP1,Eumetazoa
TNFSF11,Vertebrata
PHOX2A,Eukaryota
BACH1,Vertebrata
IFIT3,Cellular_organisms
IRF6,Vertebrata
KLF11,Opisthokonta
IKBKB,Eumetazoa
EREG,Vertebrata
AURKA,Euk+Bac
XPO1,Eukaryota
BTAF1,Cellular_organisms
PER2,Eumetazoa
ZBTB5,Eumetazoa
SMAD7,Eumetazoa
CHUK,Eukaryota
TBX3,Eumetazoa
ANGPT2,Vertebrata
MDM4,Eumetazoa
PLSCR1,Eukaryota
TBXT,Eumetazoa
VGF,Mammalia
SLC22A2,Eukaryota
DEFB4A,Mammalia
ATXN7,Eumetazoa
SHOX,Eukaryota
ALOX15B,Euk+Bac
PPM1D,Euk+Bac
SIVA1,Eumetazoa
RAD51B,Eukaryota
ATP6V0E1,Eumetazoa
MID1,Eukaryota
TP73,Opisthokonta
FOXN1,Opisthokonta
FANCA,Eumetazoa
HDAC3,Cellular_organisms
BIRC5,Opisthokonta
TMPRSS2,Eumetazoa
FOXP2,Eumetazoa
SLC31A1,Eukaryota
ABCC3,Eukaryota
ABCC4,Eukaryota
TLR3,Eumetazoa
GSC2,Eukaryota
CLOCK,Eumetazoa
CFLAR,Vertebrata
FGF10,Eumetazoa
SOCS1,Vertebrata
MAFG,Eumetazoa
OGG1,Cellular_organisms
CYP27B1,Euk+Bac
TAPBP,Vertebrata
PER1,Eumetazoa
RS1,Vertebrata
FABP7,Eumetazoa
CLDN3,Opisthokonta
MEFV,Mammalia
KCNN4,Eukaryota
ASAP2,Eukaryota
PHGDH,Cellular_organisms
ADAM12,Vertebrata
CRX,Eumetazoa
IRAK2,Eukaryota
GPR39,Vertebrata
KLK10,Mammalia
PSMD3,Eukaryota
HOXC11,Vertebrata
PRODH,Eukaryota
B4GALT5,Eukaryota
PAX4,Mammalia
FGF16,Eumetazoa
RIPK2,Eukaryota
HOXA2,Eumetazoa
HNRNPR,Eukaryota
HTRA2,Cellular_organisms
KLF4,Eumetazoa
PROM1,Eumetazoa
LAMTOR5,Eukaryota
SLC26A4,Cellular_organisms
BCL2L11,Mammalia
FOXO3,Vertebrata
KCNQ3,Eumetazoa
KCNQ2,Eumetazoa
SMAD6,Eumetazoa
GNRH2,Mammalia
TNFSF14,Mammalia
CA12,Euk+Bac
HR,Mammalia
SPRY2,Eumetazoa
SPRY1,Vertebrata
SNAI2,Eumetazoa
PSCA,Vertebrata
PLRG1,Euk+Bac
PRC1,Eukaryota
RGS10,Vertebrata
ACTN4,Eukaryota
TLX2,Mammalia
SLC25A20,Eukaryota
ZBTB14,Opisthokonta
CREB3,Mammalia
GAS2,Eumetazoa
VEGFD,Vertebrata
AIRE,Vertebrata
RAD21,Eukaryota
PLIN1,Eumetazoa
PRKN,Eumetazoa
ZEB2,Eumetazoa
PIP5K1C,Eukaryota
NUPR1,Eumetazoa
HBP1,Eumetazoa
PPL,Vertebrata
DLX3,Eumetazoa
ZIC3,Eukaryota
NPHS1,Eumetazoa
CCNT1,Eukaryota
BUB1B,Eukaryota
SPINK4,Eumetazoa
TLR2,Eumetazoa
SNAP91,Eukaryota
UGT1A9,Opisthokonta
LMX1B,Eumetazoa
JAK2,Eumetazoa
MAFK,Eumetazoa
MSC,Eumetazoa
SRPX2,Eumetazoa
UGDH,Cellular_organisms
HPGDS,Euk+Bac
SLC19A2,Eukaryota
KIN,Eukaryota
SH2D1A,Vertebrata
MMP20,Mammalia
BRD4,Eukaryota
SHOX2,Eumetazoa
TBL1X,Euk+Bac
CTSV,Eukaryota
NBN,Eukaryota
FCGR3B,Eumetazoa
MITF,Eumetazoa
ADAM23,Vertebrata
CBFA2T3,Eumetazoa
HIP1R,Eukaryota
LRP5,Vertebrata
HMMR,Euk_Archaea
ZNF217,Eumetazoa
PITX3,Mammalia
NCOR1,Eukaryota
ULK1,Eukaryota
DEAF1,Eumetazoa
MAF,Eumetazoa
SAP30,Eumetazoa
ERN1,Eukaryota
E2F6,Eukaryota
CRLF1,Eumetazoa
NR1I2,Eumetazoa
LGR5,Eumetazoa
PSIP1,Eumetazoa
SUPT3H,Opisthokonta
TNFRSF21,Vertebrata
EED,Eukaryota
SF3B1,Eukaryota
FOXH1,Mammalia
SPAG6,Eukaryota
GCM2,Eumetazoa
LEFTY1,Eumetazoa
DEDD,Eumetazoa
PRDM1,Eukaryota
CREG1,Eukaryota
SLC22A3,Euk+Bac
UGT2B17,Mammalia
CNMD,Vertebrata
KLF7,Eumetazoa
CYP7B1,Cellular_organisms
ARL6IP5,Eumetazoa
PIAS1,Eukaryota
PIAS2,Eukaryota
BCAS2,Eukaryota
CPD,Eukaryota
WFS1,Eumetazoa
CDKL5,Eukaryota
SEC14L2,Eukaryota
RNF8,Eukaryota
CIAO1,Euk+Bac
PDE5A,Eukaryota
BEST1,Eumetazoa
RECQL4,Cellular_organisms
URI1,Eukaryota
MTA2,Eumetazoa
ALDH1A2,Euk+Bac
SLIT2,Eukaryota
TOMM70,Opisthokonta
IPO13,Eukaryota
LRIG2,Eukaryota
DKK1,Eumetazoa
NFAT5,Eumetazoa
GLCE,Euk_Archaea
GLS,Euk+Bac
KDM4B,Eukaryota
HEXIM1,Eumetazoa
CCNB2,Eukaryota
NKX2-2,Eumetazoa
ZNF202,Opisthokonta
MFN2,Opisthokonta
CACNA1H,Eukaryota
RTN3,Mammalia
ZNF205,Opisthokonta
SPDEF,Eumetazoa
ABCC6,Mammalia
GADD45G,Eumetazoa
RASGRP1,Eukaryota
PAPSS2,Cellular_organisms
ABCB11,Euk+Bac
SIX3,Eumetazoa
ATG7,Eukaryota
TRIM16,Eumetazoa
ZBTB7A,Opisthokonta
IPO7,Eukaryota
ZIC2,Eumetazoa
SOX14,Eukaryota
SLC34A2,Euk+Bac
APOM,Vertebrata
SGPL1,Cellular_organisms
CLDN7,Eumetazoa
SIX6,Eumetazoa
ABCA1,Euk+Bac
KLF8,Vertebrata
POLR1A,Cellular_organisms
YEATS4,Eukaryota
FSTL3,Vertebrata
NFATC1,Eumetazoa
DIRAS3,Eumetazoa
HERC2,Eumetazoa
CXCL14,Vertebrata
ESRRB,Eumetazoa
GGPS1,Cellular_organisms
FGF19,Vertebrata
DDX58,Euk_Archaea
BAG2,Eumetazoa
BAG3,Eumetazoa
MLYCD,Euk+Bac
SLC25A27,Eukaryota
SNAI1,Eumetazoa
ECD,Eukaryota
CBX7,Vertebrata
TBX18,Eumetazoa
EOMES,Eumetazoa
ONECUT2,Eumetazoa
RECK,Eumetazoa
AGR2,Vertebrata
PTTG1,Vertebrata
WNT11,Eumetazoa
CHEK2,Eukaryota
CCNE2,Eukaryota
LDHA,Cellular_organisms
ALDH1A1,Euk+Bac
DHFR,Euk+Bac
SOD1,Cellular_organisms
F8,Vertebrata
OTC,Cellular_organisms
F13A1,Eumetazoa
ABL1,Opisthokonta
EGFR,Opisthokonta
PGK1,Cellular_organisms
HP,Eumetazoa
HPR,Eumetazoa
F9,Eukaryota
F10,Eukaryota
PLG,Eumetazoa
F12,Vertebrata
PLAU,Eukaryota
PLAT,Eukaryota
CFB,Eumetazoa
REN,Eukaryota
ADA,Euk+Bac
CA2,Euk+Bac
ASS1,Cellular_organisms
OAS1,Eumetazoa
SERPINC1,Cellular_organisms
SERPINA3,Cellular_organisms
AGT,Vertebrata
A2M,Euk+Bac
C3,Euk+Bac
TIMP1,Eumetazoa
CSTA,Eukaryota
FOS,Eumetazoa
MYC,Eumetazoa
NRAS,Eukaryota
HRAS,Eukaryota
KRAS,Eukaryota
PDGFB,Vertebrata
LDLR,Eumetazoa
EGF,Vertebrata
TGFA,Eumetazoa
TGFB1,Eumetazoa
NGF,Eumetazoa
GNRH1,Vertebrata
NPPA,Vertebrata
OXT,Vertebrata
AVP,Vertebrata
PENK,Vertebrata
CGA,Vertebrata
TSHB,Eumetazoa
FSHB,Eumetazoa
LHB,Eumetazoa
CGB3,Eumetazoa
CGB5,Eumetazoa
PRL,Vertebrata
GH1,Vertebrata
GH2,Vertebrata
TG,Vertebrata
PTH,Vertebrata
GCG,Vertebrata
VIP,Vertebrata
NPY,Vertebrata
INS,Vertebrata
IGF2,Eumetazoa
GAST,Mammalia
LTA,Eumetazoa
TNF,Vertebrata
IFNA1,Vertebrata
IFNA13,Vertebrata
IFNA2,Vertebrata
IFNB1,Vertebrata
IFNG,Vertebrata
IL1A,Mammalia
IL1B,Vertebrata
EPO,Vertebrata
IL2RA,Vertebrata
JCHAIN,Vertebrata
CD4,Vertebrata
CD8A,Vertebrata
PIGR,Vertebrata
HLA-A,Vertebrata
HLA-DRA,Vertebrata
HLA-DQA2,Vertebrata
HLA-DQA1,Vertebrata
HLA-DRB1,Vertebrata
HLA-DRB1,Vertebrata
HLA-DQB1,Vertebrata
HBZ,Vertebrata
HBD,Mammalia
HBE1,Vertebrata
COL1A1,Opisthokonta
COL2A1,Opisthokonta
COL4A1,Opisthokonta
CRYAB,Eumetazoa
KRT14,Eumetazoa
APOA1,Vertebrata
APOE,Vertebrata
APOA2,Mammalia
APOC3,Mammalia
FGA,Eumetazoa
FGB,Vertebrata
FGG,Eumetazoa
MBP,Vertebrata
CHRNA1,Eumetazoa
GYPA,Mammalia
CRP,Vertebrata
APCS,Eumetazoa
FN1,Eukaryota
ALB,Vertebrata
AFP,Vertebrata
GC,Vertebrata
PPBP,Mammalia
PF4,Mammalia
CXCL10,Mammalia
TFRC,Euk+Bac
TF,Eumetazoa
LTF,Eumetazoa
FTH1,Cellular_organisms
MT2A,Mammalia
BGLAP,Vertebrata
ESR1,Eumetazoa
ANG,Vertebrata
MMP1,Vertebrata
AMH,Vertebrata
SLPI,Eumetazoa
HLA-B,Vertebrata
HMGCR,Euk_Archaea
CAT,Euk+Bac
GBA,Euk+Bac
PROC,Euk+Bac
ALDOA,Euk+Bac
