gene,origin_mechanism,parental_gene
YDR342C,DNA-based duplication,YMR011W
YDR342C,DNA-based duplication,YDL245C
YDR342C,DNA-based duplication,YHR096C
YDR342C,DNA-based duplication,YLR081W
YDR342C,DNA-based duplication,YHR094C
YDR342C,DNA-based duplication,YJL214W
YDR342C,DNA-based duplication,YOL156W
YDR342C,DNA-based duplication,YHR092C
YDR342C,DNA-based duplication,YFL011W
YDR342C,DNA-based duplication,YDR343C
YDR342C,DNA-based duplication,YJL219W
YDR342C,DNA-based duplication,YEL069C
YDR342C,DNA-based duplication,YDR345C
YDR342C,DNA-based duplication,YJR158W
YDR343C,DNA-based duplication,YMR011W
YDR343C,DNA-based duplication,YDL245C
YDR343C,DNA-based duplication,YDR342C
YDR343C,DNA-based duplication,YHR096C
YDR343C,DNA-based duplication,YLR081W
YDR343C,DNA-based duplication,YHR094C
YDR343C,DNA-based duplication,YJL214W
YDR343C,DNA-based duplication,YOL156W
YDR343C,DNA-based duplication,YHR092C
YDR343C,DNA-based duplication,YFL011W
YDR343C,DNA-based duplication,YJL219W
YDR343C,DNA-based duplication,YEL069C
YDR343C,DNA-based duplication,YDR345C
YDR343C,DNA-based duplication,YJR158W
YBR145W,DNA-based duplication,YMR083W
YBR145W,DNA-based duplication,YOL086C
YBR145W,DNA-based duplication,YMR303C
YBR157C,de novo origination,YBR157C
YBR169C,DNA-based duplication like,YBL075C
YBR169C,DNA-based duplication,YPL106C
YBR169C,DNA-based duplication like,YNL209W
YBR172C,DNA-based duplication like,YPL105C
YBR197C,de novo origination,YBR197C
YBR210W,DNA-based duplication,YGL054C
YOR028C,DNA-based duplication like,YDR259C
YOR062C,DNA-based duplication like,YKR075C
YOR072W-B,DNA-based duplication like,YOL013W-A
YOL013W-A,DNA-based duplication,YOR072W-B
YOR097C,de novo origination,YOR097C
YOR134W,DNA-based duplication like,YDR389W
YOR137C,DNA-based duplication like,YLR361C
YNR055C,de novo origination,YNR055C
YNR056C,de novo origination,YNR056C
YNR057C,de novo origination,YNR057C
YNR058W,de novo origination,YNR058W
YNR059W,DNA-based duplication like,YGL257C
YNR059W,DNA-based duplication like,YIL014W
YNR059W,DNA-based duplication like,YER001W
YNR060W,DNA-based duplication,YOR381W
YNR060W,DNA-based duplication like,YOR384W
YNR060W,DNA-based duplication,YKL220C
YNR060W,DNA-based duplication like,YLR214W
YNR060W,DNA-based duplication like,YLL051C
YNR062C,de novo origination,YNR062C
YNR063W,de novo origination,YNR063W
YNR064C,de novo origination,YNR064C
YNR066C,DNA-based duplication,YCR101C
YNR066C,DNA-based duplication like,YCR100C
YNR067C,DNA-based duplication like,YLR144C
YNR068C,DNA-based duplication like,YMR275C
YNR068C,DNA-based duplication like,YNR069C
YNR068C,DNA-based duplication like,YML111W
YNR069C,DNA-based duplication like,YMR275C
YNR069C,DNA-based duplication like,YNR068C
YNR069C,DNA-based duplication like,YML111W
YNR071C,DNA-based duplication,YHR210C
YNR072W,DNA-based duplication like,YDL138W
YNR072W,DNA-based duplication like,YDL194W
YNR072W,DNA-based duplication like,YNL318C
YNR073C,DNA-based duplication,YEL070W
YNR074C,de novo origination,YNR074C
YNR075W,DNA-based duplication like,YDL248W
YNR075W,DNA-based duplication like,YML132W
YNR075W,DNA-based duplication like,YBR302C
YNR075W,DNA-based duplication like,YGL263W
YNR075W,DNA-based duplication like,YHL048W
YNR075W,DNA-based duplication like,YJR161C
YNR075W,DNA-based duplication like,YGR295C
YNR075W,DNA-based duplication like,YHL043W
YNR075W,DNA-based duplication like,YNL336W
YNR075W,DNA-based duplication like,YFL062W
YNR075W,DNA-based duplication like,YHL042W
YNR075W,DNA-based duplication like,YKL219W
YNR075C-A,DNA-based duplication like,YJL222W-B
YNR075C-A,DNA-based duplication like,YJL222W-A
YNR075C-A,DNA-based duplication like,YBL108W
YNR075C-A,DNA-based duplication like,YAL067W-A
YNR075C-A,DNA-based duplication like,YIR040C
YNR075C-A,DNA-based duplication like,YKL223W
YNR075C-A,DNA-based duplication like,YGL260W
YNR076W,DNA-based duplication,YLR461W
YNR076W,DNA-based duplication,YMR325W
YNR076W,DNA-based duplication,YLR037C
YNR076W,DNA-based duplication,YIR041W
YNR076W,DNA-based duplication,YGR294W
YNR076W,DNA-based duplication,YIL176C
YNR076W,DNA-based duplication,YEL049W
YNR076W,DNA-based duplication,YLL064C
YNR076W,DNA-based duplication,YKL224C
YNR076W,DNA-based duplication,YDR542W
YNR076W,DNA-based duplication like,YJR151C
YNR076W,DNA-based duplication like,YJR150C
YNR076W,DNA-based duplication,YHL046C
YNR076W,DNA-based duplication,YPL282C
YNR076W,DNA-based duplication,YBR301W
YNR076W,DNA-based duplication,YFL020C
YNR076W,DNA-based duplication,YAR020C
YNR076W,DNA-based duplication,YLL025W
YNR076W,DNA-based duplication,YBL108C-A
YNR076W,DNA-based duplication,YJL223C
YNR076W,DNA-based duplication,YCR104W
YNR076W,DNA-based duplication,YOL161C
YNR076W,DNA-based duplication,YOR394W
YNR076W,DNA-based duplication,YAL068C
YNR076W,DNA-based duplication,YGL261C
YNR077C,DNA-based duplication,YDR543C
YNR077C,DNA-based duplication,YER188C-A
YNR077C,DNA-based duplication,YJR162C
YNR077C,DNA-based duplication,YOL166W-A
YNR077C,DNA-based duplication,YAL068W-A
YNR077C,DNA-based duplication,YNL337W
YNR077C,DNA-based duplication like,YFL063W
YNR077C,DNA-based duplication,YMR326C
YNR077C,DNA-based duplication,YLL065W
YNR077C,DNA-based duplication,YKL225W
YOL166W-A,DNA-based duplication like,YDR543C
YOL166W-A,DNA-based duplication like,YER188C-A
YOL166W-A,DNA-based duplication like,YJR162C
YOL166W-A,DNA-based duplication like,YAL068W-A
YOL166W-A,DNA-based duplication like,YNR077C
YOL166W-A,DNA-based duplication like,YNL337W
YOL166W-A,DNA-based duplication like,YFL063W
YOL166W-A,DNA-based duplication like,YMR326C
YOL166W-A,DNA-based duplication like,YLL065W
YOL166W-A,DNA-based duplication like,YKL225W
YOL165C,de novo origination,YOL165C
YOL164W,de novo origination,YOL164W
YOL163W,DNA-based duplication like,YOL162W
YOL163W,DNA-based duplication like,YIL166C
YOL162W,DNA-based duplication like,YOL163W
YOL162W,DNA-based duplication like,YIL166C
YOL161C,DNA-based duplication,YLR461W
YOL161C,DNA-based duplication,YMR325W
YOL161C,DNA-based duplication,YLR037C
YOL161C,DNA-based duplication,YIR041W
YOL161C,DNA-based duplication,YGR294W
YOL161C,DNA-based duplication,YIL176C
YOL161C,DNA-based duplication,YEL049W
YOL161C,DNA-based duplication,YLL064C
YOL161C,DNA-based duplication,YKL224C
YOL161C,DNA-based duplication,YDR542W
YOL161C,DNA-based duplication like,YJR151C
YOL161C,DNA-based duplication like,YJR150C
YOL161C,DNA-based duplication,YHL046C
YOL161C,DNA-based duplication,YPL282C
YOL161C,DNA-based duplication,YBR301W
YOL161C,DNA-based duplication,YFL020C
YOL161C,DNA-based duplication,YAR020C
YOL161C,DNA-based duplication,YLL025W
YOL161C,DNA-based duplication,YBL108C-A
YOL161C,DNA-based duplication,YJL223C
YOL161C,DNA-based duplication,YCR104W
YOL161C,DNA-based duplication,YNR076W
YOL161C,DNA-based duplication,YOR394W
YOL161C,DNA-based duplication,YAL068C
YOL161C,DNA-based duplication,YGL261C
YOL158C,DNA-based duplication like,YEL065W
YOL158C,DNA-based duplication like,YHL040C
YOL158C,DNA-based duplication like,YCL073C
YOL158C,DNA-based duplication like,YKR106W
YOL158C,DNA-based duplication like,YHL047C
YOL157C,DNA-based duplication,YIL172C
YOL157C,DNA-based duplication,YJL216C
YOL157C,DNA-based duplication,YBR299W
YOL157C,DNA-based duplication,YGR292W
YOL157C,DNA-based duplication,YGR287C
YOL155C,DNA-based duplication,YAR066W
YOL155C,DNA-based duplication,YHR214W
YOL155C,DNA-based duplication,YIL169C
YOL154W,de novo origination,YOL154W
YOL152W,de novo origination,YOL152W
YOL128C,DNA-based duplication like,YNL307C
YOL128C,DNA-based duplication like,YMR139W
YOL128C,retroposition like,YDL079C
YOL128C,DNA-based duplication like,YLR113W
YOL128C,DNA-based duplication like,YPR054W
YOL113W,DNA-based duplication like,YNL298W
YOL113W,DNA-based duplication like,YHL007C
YOL106W,DNA-based duplication,YGR122C-A
YOL106W,DNA-based duplication like,YLR334C
YOL106W,DNA-based duplication,YPR002C-A
YOL106W,DNA-based duplication,YCR018C-A
YOL106W,DNA-based duplication,YDR034C-A
YOL106W,DNA-based duplication,YMR046W-A
YOL101C,de novo origination,YOL101C
YCR097W-A,DNA-based duplication,YCR041W
YCR097W-A,DNA-based duplication,YCL065W
YCR098C,de novo origination,YCR098C
YCR100C,DNA-based duplication like,YCR101C
YCR100C,DNA-based duplication like,YNR066C
YCR101C,DNA-based duplication like,YNR066C
YCR101C,DNA-based duplication like,YCR100C
YCR104W,DNA-based duplication,YLR461W
YCR104W,DNA-based duplication,YMR325W
YCR104W,DNA-based duplication,YIR041W
YCR104W,DNA-based duplication,YLR037C
