"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"P53266" "OTHER" "1" "SHY1" "S. cerevisiae" "SURF Homolog of Yeast" "1170" "YGR112W" "S000003344" "ORF"
"P38885" "OTHER" "1" "AIM46" "S. cerevisiae" "Altered Inheritance rate of Mitochondria" "933" "YHR199C" "S000001242" "ORF"
"P14693" "OTHER" "1" "SAM35" "S. cerevisiae" "Sorting and Assembly Machinery" "990" "YHR083W" "S000001125" "ORF"
"P40042" "OTHER" "1" "RRT13" "S. cerevisiae" "Regulator of rDNA Transcription" "558" "YER066W" "S000000868" "ORF"
"P38990" "OTHER" "1" "SAK1" "S. cerevisiae" "Snf1 Activating Kinase" "3429" "YER129W" "S000000931" "ORF"
"P53823" "OTHER" "1" "SNO2" "S. cerevisiae" "SNZ proximal Open reading frame" "669" "YNL334C" "S000005278" "ORF"
"P43587" "OTHER" "1" "YPI1" "S. cerevisiae" "Yeast Phosphatase Inhibitor" "468" "YFR003C" "S000001899" "ORF"
"P22943" "OTHER" "1" "HSP12" "S. cerevisiae" "Heat Shock Protein" "330" "YFL014W" "S000001880" "ORF"
"Q03768" "OTHER" "1" "GIR2" "S. cerevisiae" "Genetically Interacts with Ribosomal genes" "798" "YDR152W" "S000002559" "ORF"
"P38285" "OTHER" "1" "AMN1" "S. cerevisiae" "Antagonist of Mitotic exit Network" "1650" "YBR158W" "S000000362" "ORF"
"P47058" "OTHER" "1" "TAD2" "S. cerevisiae" "tRNA-specific Adenosine Deaminase" "753" "YJL035C" "S000003572" "ORF"
"P41817" "OTHER" "1" "CUP9" "S. cerevisiae" "" "921" "YPL177C" "S000006098" "ORF"
"Q08914" "OTHER" "1" "HSP33" "S. cerevisiae" "Heat-Shock Protein" "714" "YOR391C" "S000005918" "ORF"
"P53905" "OTHER" "1" "LSM7" "S. cerevisiae" "Like SM" "444" "YNL147W" "S000005091" "ORF"
"P18759" "OTHER" "1" "SEC18" "S. cerevisiae" "SECretory" "2277" "YBR080C" "S000000284" "ORF"
"Q03254" "OTHER" "1" "FCP1" "S. cerevisiae" "tfiiF-associating component of Ctd Phosphatase" "2199" "YMR277W" "S000004890" "ORF"
"P23796" "OTHER" "1" "RIT1" "S. cerevisiae" "Ribosylation of Initiator tRNA" "1542" "YMR283C" "S000004896" "ORF"
"Q02753" "OTHER" "1" "RPL21A" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "871" "YBR191W" "S000000395" "ORF"
"Q07923" "OTHER" "1" "LOT6" "S. cerevisiae" "LOw Temperature-responsive" "576" "YLR011W" "S000004001" "ORF"
"P20436" "OTHER" "1" "RPB8" "S. cerevisiae" "RNA Polymerase B" "441" "YOR224C" "S000005750" "ORF"
