ensembl_id,gene_age,gene_Interval
ENSMUSG00000095845,101,96-105
ENSMUSG00000060038,101,96-105
ENSMUSG00000020864,645,615-676
ENSMUSG00000094091,39,33-45
ENSMUSG00000020863,1578,1496-1660
ENSMUSG00000042303,>4290,>4290
ENSMUSG00000002658,>4290,>4290
ENSMUSG00000002661,>4290,>4290
ENSMUSG00000096638,39,33-45
ENSMUSG00000095117,1,0-3
ENSMUSG00000076674,30,29-33
ENSMUSG00000094029,8,7-8
ENSMUSG00000076676,454,435-473
ENSMUSG00000096498,39,33-45
ENSMUSG00000095866,39,33-45
ENSMUSG00000096670,39,33-45
ENSMUSG00000104452,5,3-7
ENSMUSG00000076672,30,29-33
ENSMUSG00000076670,8,7-8
ENSMUSG00000096824,14,8-21
ENSMUSG00000094505,5,3-7
ENSMUSG00000076733,1,0-3
ENSMUSG00000076731,5,3-7
ENSMUSG00000093838,1,0-3
ENSMUSG00000076646,39,33-45
ENSMUSG00000102301,39,33-45
ENSMUSG00000096355,39,33-45
ENSMUSG00000096464,39,33-45
ENSMUSG00000103939,8,7-8
ENSMUSG00000095565,39,33-45
ENSMUSG00000094164,39,33-45
ENSMUSG00000102364,1,0-3
ENSMUSG00000095170,1,0-3
ENSMUSG00000046378,168,159-177
ENSMUSG00000030683,454,435-473
ENSMUSG00000030685,454,435-473
ENSMUSG00000042606,454,435-473
ENSMUSG00000057411,680,676-684
ENSMUSG00000118135,680,676-684
ENSMUSG00000000131,680,676-684
ENSMUSG00000024177,544,473-615
ENSMUSG00000038644,>4290,>4290
ENSMUSG00000003865,1488,1480-1496
ENSMUSG00000038704,1488,1480-1496
ENSMUSG00000045282,1488,1480-1496
ENSMUSG00000063802,645,615-676
ENSMUSG00000073838,>4290,>4290
ENSMUSG00000018931,>4290,>4290
ENSMUSG00000043284,>4290,>4290
ENSMUSG00000042569,645,615-676
ENSMUSG00000038002,645,615-676
ENSMUSG00000024165,645,615-676
ENSMUSG00000024163,987,952-1023
ENSMUSG00000073435,645,615-676
ENSMUSG00000038880,645,615-676
ENSMUSG00000024160,544,473-615
ENSMUSG00000042675,454,435-473
ENSMUSG00000030703,950,948-952
ENSMUSG00000063065,454,435-473
ENSMUSG00000029310,454,435-473
ENSMUSG00000030727,454,435-473
ENSMUSG00000020868,987,952-1023
ENSMUSG00000020752,645,615-676
ENSMUSG00000025582,168,159-177
ENSMUSG00000020776,168,159-177
ENSMUSG00000001036,886,824-948
ENSMUSG00000001039,987,952-1023
ENSMUSG00000059003,950,948-952
ENSMUSG00000022505,645,615-676
ENSMUSG00000022503,>4290,>4290
ENSMUSG00000038055,>4290,>4290
ENSMUSG00000068663,>4290,>4290
ENSMUSG00000052707,645,615-676
ENSMUSG00000030869,1714,1660-1768
ENSMUSG00000030868,1714,1660-1768
ENSMUSG00000022710,1714,1660-1768
ENSMUSG00000036067,680,676-684
ENSMUSG00000036636,1714,1660-1768
ENSMUSG00000073433,>4290,>4290
ENSMUSG00000041199,645,615-676
ENSMUSG00000022404,454,435-473
ENSMUSG00000041130,454,435-473
ENSMUSG00000020537,>4290,>4290
ENSMUSG00000040888,>4290,>4290
ENSMUSG00000020536,1578,1496-1660
ENSMUSG00000002812,1578,1496-1660
ENSMUSG00000002608,1578,1496-1660
ENSMUSG00000022407,>4290,>4290
ENSMUSG00000022412,645,615-676
ENSMUSG00000022440,645,615-676
ENSMUSG00000036599,645,615-676
ENSMUSG00000036526,680,676-684
ENSMUSG00000039623,544,473-615
ENSMUSG00000029578,645,615-676
ENSMUSG00000038780,544,473-615
ENSMUSG00000045078,886,824-948
ENSMUSG00000039477,645,615-676
ENSMUSG00000050822,645,615-676
ENSMUSG00000029625,987,952-1023
ENSMUSG00000020534,810,797-824
ENSMUSG00000053367,810,797-824
ENSMUSG00000090981,5,3-7
ENSMUSG00000036578,93,90-96
ENSMUSG00000074199,93,90-96
ENSMUSG00000037029,168,159-177
ENSMUSG00000059395,544,473-615
ENSMUSG00000058897,544,473-615
ENSMUSG00000046323,544,473-615
ENSMUSG00000069998,50,45-55
ENSMUSG00000061561,50,45-55
ENSMUSG00000109523,382,352-413
ENSMUSG00000087408,382,352-413
ENSMUSG00000070311,77,73-82
ENSMUSG00000094588,77,73-82
ENSMUSG00000096757,77,73-82
ENSMUSG00000094778,77,73-82
ENSMUSG00000049864,77,73-82
ENSMUSG00000096427,77,73-82
ENSMUSG00000111814,1,0-3
ENSMUSG00000045528,77,73-82
ENSMUSG00000093901,77,73-82
ENSMUSG00000058270,77,73-82
ENSMUSG00000050853,93,90-96
ENSMUSG00000064110,382,352-413
ENSMUSG00000059867,382,352-413
ENSMUSG00000059106,382,352-413
ENSMUSG00000043331,39,33-45
ENSMUSG00000047352,77,73-82
ENSMUSG00000048534,77,73-82
ENSMUSG00000064137,14,8-21
ENSMUSG00000039956,14,8-21
ENSMUSG00000056350,39,33-45
ENSMUSG00000035352,50,45-55
ENSMUSG00000020676,244,177-312
ENSMUSG00000054404,50,45-55
ENSMUSG00000069793,544,473-615
ENSMUSG00000035208,5,3-7
ENSMUSG00000018986,30,29-33
ENSMUSG00000072620,62,55-70
ENSMUSG00000000204,30,29-33
ENSMUSG00000078763,62,55-70
ENSMUSG00000094858,382,352-413
ENSMUSG00000109219,382,352-413
ENSMUSG00000108919,382,352-413
ENSMUSG00000095809,382,352-413
ENSMUSG00000109547,382,352-413
ENSMUSG00000057149,382,352-413
ENSMUSG00000109487,382,352-413
ENSMUSG00000044560,382,352-413
ENSMUSG00000048080,382,352-413
ENSMUSG00000094692,382,352-413
ENSMUSG00000084897,1,0-3
ENSMUSG00000062961,1,0-3
ENSMUSG00000004668,>4290,>4290
ENSMUSG00000060187,454,435-473
ENSMUSG00000045519,93,90-96
ENSMUSG00000053030,132,105-159
ENSMUSG00000037014,645,615-676
ENSMUSG00000074743,645,615-676
ENSMUSG00000096740,62,55-70
