,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Vertebrata,Mammalia,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A0A0A0MQ97,0.0,0.0,0.0,0.0,0.0,0.375,0.625,0.0,Vertebrata,8,5,0.661563238158,3.33333333333,1.59920634921,False
A0A0A0MQB3,0.33333333333299997,0.08333333333330001,0.33333333333299997,0.0,0.0,0.25,0.0,0.0,Cellular_organisms,12,0,1.2860573368700001,3.24242424242,-0.166666666667,True
A0A0A0MQC1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,Vertebrata,5,1,0.500402423538,1.0,,False
A0A0A0MQF7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,2,0,-0.0,2.0,,False
A0A0B4J1F6,0.0,0.0,0.0,0.0,0.0,0.14285714285700002,0.428571428571,0.428571428571,Mammalia,7,5,1.0042424730500001,4.16666666667,4.4,False
A0A0B4J1F8,0.0,0.0,0.0,0.0,0.0,0.0,0.833333333333,0.166666666667,Vertebrata,6,3,0.45056120886600004,2.44444444444,4.0625,False
A0A0B4J1F9,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.75,Mammalia,8,1,0.7356219397589999,8.22222222222,-0.5,False
A0A0B4J1G0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,2,11,-0.0,3.69230769231,1.4404761904799999,False
A0A0B4J1G4,0.0,0.0,0.0,0.0,0.0,0.38461538461499994,0.615384615385,0.0,Vertebrata,13,0,0.666278442415,0.974358974359,0.0555555555556,False
A0A0B4J1I6,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.4,Mammalia,10,0,1.08889997535,6.2,0.642857142857,False
A0A0B4J1M5,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.833333333333,Mammalia,12,0,0.45056120886600004,2.01515151515,1.0666666666700002,False
A0A504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mammalia,10,0,-0.0,0.0,0.0,False
A0AUN4,0.0,0.0,0.0,0.125,0.125,0.625,0.0,0.125,Eumetazoa,8,0,1.07354284641,3.64285714286,0.482051282051,False
A0AUV4,0.0,0.0,0.714285714286,0.14285714285700002,0.0,0.0,0.0,0.14285714285700002,Euk+Bac,7,1,0.7963116401739999,5.07142857143,-2.5714285714300003,False
A0JLN1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.307692307692,0.00396825396825,False
A0JLX3,0.0,0.0,0.28571428571400004,0.714285714286,0.0,0.0,0.0,0.0,Eukaryota,7,2,0.598269588585,7.16666666667,2.2987012987,False
A0JLX4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mammalia,4,2,-0.0,5.86666666667,0.821428571429,False
A0JLY1,0.0,0.0,0.0,0.444444444444,0.222222222222,0.33333333333299997,0.0,0.0,Eukaryota,9,0,1.06085694716,2.72222222222,-0.5,False
A0JNT9,0.0,0.0,0.0,0.0,0.08333333333330001,0.916666666667,0.0,0.0,Eumetazoa,12,1,0.286835983056,1.58974358974,0.166666666667,False
A0JNU3,0.692307692308,0.0,0.0769230769231,0.0769230769231,0.153846153846,0.0,0.0,0.0,Cellular_organisms,13,0,0.937155853066,1.61538461538,-0.14682539682499998,False
A0JP43,0.0,0.0,0.0,0.153846153846,0.153846153846,0.538461538462,0.0,0.153846153846,Eumetazoa,13,0,1.19723750156,4.23076923077,0.789682539683,False
A0JP54,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.0,Euk+Bac,4,3,1.0397207708399998,5.90476190476,-2.66666666667,False
A0N3V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Vertebrata,6,2,-0.0,0.928571428571,-0.166666666667,False
A0PJN4,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,Opisthokonta,10,3,0.6931471805600001,1.94871794872,0.00793650793651,False
A0PK51,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,Mammalia,8,1,1.0397207708399998,6.33333333333,-1.6666666666699999,False
A0PK55,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,Mammalia,5,6,1.05492016799,3.96363636364,1.0333333333299999,False
A0PK57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Vertebrata,2,6,-0.0,3.96428571429,2.6875,False
A0PK84,0.0,0.0,0.0,0.4,0.1,0.3,0.2,0.0,Eukaryota,10,3,1.2798542258299999,4.15384615385,-0.33333333333299997,False
A0ZV96,0.0,0.0,0.0,0.769230769231,0.0,0.23076923076900002,0.0,0.0,Eukaryota,13,0,0.5402041423889999,1.92307692308,-0.0396825396825,False
A1A535,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,13,0,-0.0,0.0,0.0,False
A1A546,0.0,0.0,0.0,0.375,0.0,0.125,0.375,0.125,Vertebrata,8,4,1.25548232518,5.68181818182,2.04444444444,False
A1A547,0.0,0.0,0.38461538461499994,0.0,0.0,0.307692307692,0.0,0.307692307692,Euk+Bac,13,0,1.0928305535299998,7.79487179487,4.15873015873,False
A1A549,0.0,0.0,0.0,0.0,0.0,0.555555555556,0.444444444444,0.0,Eumetazoa,9,4,0.6869615765970001,2.0,2.16666666667,False
A1A5B6,0.0,0.0,0.0,0.666666666667,0.0,0.33333333333299997,0.0,0.0,Eukaryota,6,7,0.636514168295,2.79487179487,2.14682539683,False
A1E960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mammalia,12,0,-0.0,0.0,0.0,False
A1EGX6,0.0,0.0,0.222222222222,0.0,0.0,0.0,0.0,0.777777777778,Mammalia,9,1,0.529706199058,7.55555555556,-0.8,False
A1IGU4,0.0,0.0,0.0,0.08333333333330001,0.416666666667,0.25,0.25,0.0,Opisthokonta,12,1,1.26500137527,3.23076923077,1.9246031746,False
A1KXC4,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.833333333333,Mammalia,12,0,0.45056120886600004,1.24242424242,0.2,False
A1L0T3,0.0,0.0,0.0,0.0,0.0,0.45454545454499995,0.545454545455,0.0,Vertebrata,11,0,0.689009238477,2.4,-0.22,False
A1L0V8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mammalia,9,1,-0.0,2.6,1.39285714286,False
A1L1B4,0.0,0.0,0.0,0.0,0.0,0.0,0.272727272727,0.7272727272730001,Mammalia,11,1,0.585952618304,2.42424242424,2.0,False
A1L314,0.0,0.0,0.0,0.0,0.0,0.846153846154,0.0769230769231,0.0769230769231,Eumetazoa,13,0,0.5359610497089999,1.58974358974,0.5277777777780001,False
A1L317,0.0,0.0,0.0,0.08333333333330001,0.0,0.25,0.33333333333299997,0.33333333333299997,Mammalia,12,1,1.2860573368700001,4.25641025641,1.30158730159,False
A1L349,0.0,0.0,0.0,0.75,0.08333333333330001,0.0,0.0,0.166666666667,Eukaryota,12,1,0.7214636866930001,6.17948717949,4.30555555556,False
A1L358,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Opisthokonta,1,11,-0.0,5.98484848485,3.5777777777800006,False
A1L3C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mammalia,10,2,-0.0,5.12121212121,-0.8777777777779999,False
A1L3C2,0.0,0.7272727272730001,0.0,0.272727272727,0.0,0.0,0.0,0.0,Euk_Archaea,11,2,0.585952618304,0.512820512821,0.230158730159,False
A1L3P4,0.375,0.0,0.375,0.0,0.125,0.0,0.125,0.0,Cellular_organisms,8,5,1.25548232518,4.20512820513,2.2380952381,False
A1Y9I9,0.0,0.0,0.0,0.5,0.08333333333330001,0.0,0.416666666667,0.0,Eukaryota,12,1,0.918427784993,4.61538461538,2.32936507937,False
A1YIY0,0.0,0.0,0.0,0.0,0.0,0.0,0.272727272727,0.7272727272730001,Mammalia,11,1,0.585952618304,3.39393939394,-0.011111111111099999,False
A1Z198,0.0,0.0,0.0,0.166666666667,0.666666666667,0.166666666667,0.0,0.0,Opisthokonta,6,3,0.8675632284810001,4.94444444444,-0.33333333333299997,False
A2A259,0.0,0.0,0.0,0.583333333333,0.0,0.08333333333330001,0.33333333333299997,0.0,Eukaryota,12,0,0.887694275799,3.90909090909,0.811111111111,False
A2A432,0.0,0.0,0.0,0.916666666667,0.08333333333330001,0.0,0.0,0.0,Eukaryota,12,1,0.286835983056,2.02564102564,0.357142857143,False
A2A473,0.0,0.0,0.0,0.666666666667,0.111111111111,0.111111111111,0.111111111111,0.0,Eukaryota,9,4,1.0027182645200001,4.84615384615,1.36507936508,False
A2A484,0.0,0.0,0.0,0.0,0.166666666667,0.833333333333,0.0,0.0,Eumetazoa,12,1,0.45056120886600004,1.53846153846,-0.031746031746,False
A2A4F1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,Mammalia,2,6,0.6931471805600001,7.03571428571,-1.5208333333300001,False
