Tf,distance
YDR301W,Saccharomyces
YDR303C,Saccharomycetaceae
YDR306C,Eukaryota
YDR307W,Fungi
YDR308C,Fungi
YDR309C,Saccharomycetaceae
YDR310C,Saccharomycetaceae
YDR311W,Saccharomycetaceae
YDR312W,> Eukaryota
YDR313C,> Eukaryota
YDR314C,Saccharomycetaceae
YDR315C,Saccharomycetaceae
YDR316W,Saccharomycetaceae
YDR317W,Saccharomycetaceae
YDR319C,Saccharomycetaceae
YDR320C,Saccharomycetaceae
YDR321W,Saccharomyceta
YDR322W,Saccharomyceta
YDR323C,Saccharomyceta
YDR324C,Saccharomyceta
YDR325W,Saccharomyceta
YDR326C,Eukaryota
YDR328C,Eukaryota
YDR329C,Eukaryota
YDR330W,Eukaryota
YDR332W,Eukaryota
YDR333C,Eukaryota
YDR334W,Eukaryota
YDR338C,Fungi
YDR339C,Fungi
YDR341C,Ascomycota
YDR342C,Saccharomycetaceae
YDR343C,Saccharomycetaceae
YDR345C,Saccharomyceta
YDR350C,Dikarya
YDR351W,Saccharomyceta
YDR353W,Eukaryota
YDR354W,Eukaryota
YDR356W,Eukaryota
YDR357C,Eukaryota
YDR358W,Opisthokonta
YDR359C,Opisthokonta
YDR361C,Opisthokonta
YDR368W,Dikarya
YDR370C,Dikarya
YDR371W,Dikarya
YDR372C,Dikarya
YDR373W,Eukaryota
YDR375C,Eukaryota
YDR376W,Eukaryota
YDR377W,Eukaryota
YDR378C,Ascomycota
YDR379W,Fungi
YDR380W,Fungi
YDR381W,Fungi
YDR382W,Fungi
YDR384C,Saccharomycetaceae
YDR385W,Ascomycota
YDR389W,Fungi
YDR393W,Saccharomycetaceae
YDR394W,Ascomycota
YDR397C,Saccharomyceta
YDR398W,Saccharomyceta
YDR402C,Fungi
YDR403W,Fungi
YBR126C,Fungi
YBR127C,Ascomycota
YBR129C,Ascomycota
YBR130C,Ascomycota
YBR131W,Ascomycota
YBR132C,Ascomycota
YBR133C,Ascomycota
YBR135W,Ascomycota
YBR137W,Saccharomyceta
YBR138C,Saccharomyceta
YBR139W,Fungi
YBR143C,Eukaryota
YBR145W,Saccharomyces
YBR146W,Saccharomyces
YBR147W,Saccharomyceta
YBR150C,Saccharomyceta
YBR151W,Saccharomyceta
YBR152W,Saccharomyceta
YBR156C,Saccharomyceta
YBR157C,Saccharomyceta
YBR158W,Saccharomyceta
YBR159W,Saccharomyceta
YBR160W,> Eukaryota
YBR161W,Ascomycota
YBR162C,Ascomycota
YBR163W,Ascomycota
YBR164C,> Eukaryota
YBR165W,> Eukaryota
YBR166C,> Eukaryota
YBR167C,> Eukaryota
YBR168W,> Eukaryota
YBR169C,Saccharomycetaceae
YBR170C,Saccharomycetaceae
YBR171W,Saccharomycetaceae
YBR176W,> Eukaryota
YBR177C,> Eukaryota
YBR179C,> Eukaryota
YBR180W,Saccharomycetaceae
YBR181C,Ascomycota
YBR182C,Eukaryota
YBR183W,Ascomycota
YBR185C,Ascomycota
YBR186W,Ascomycota
YBR187W,Ascomycota
YBR189W,> Eukaryota
YBR191W,> Eukaryota
YBR195C,Eukaryota
YBR196C,Eukaryota
YBR198C,Ascomycota
YBR199W,Saccharomyceta
YBR200W,Saccharomyceta
YBR201W,Saccharomyceta
YBR202W,> Eukaryota
YBR204C,> Eukaryota
YBR205W,Ascomycota
YBR207W,Saccharomyceta
YBR208C,Saccharomyceta
