,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Dikarya,Ascomycota,Saccharomyceta,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A2P2R3,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,5,1,0.500402423538,0.0,0.0,False
D6VTK4,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,Ascomycota,10,0,0.325082973391,0.2,0.107142857143,False
D6W196,0.0,0.0,0.0,0.5,0.0,0.3,0.0,0.2,Eukaryota,10,2,1.02965301406,2.86363636364,2.23686635945,False
O13297,0.0,0.0,0.0,0.272727272727,0.0,0.45454545454499995,0.0,0.272727272727,Dikarya,11,0,1.0670895187799998,2.94545454545,0.12,False
O13516,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.0,Euk_Archaea,8,1,0.9743147528689999,0.777777777778,-0.220779220779,False
O13525,0.0,0.0,0.38461538461499994,0.538461538462,0.0,0.0,0.0,0.0769230769231,Eukaryota,13,0,0.898137003188,2.07692307692,0.0912698412698,False
O13527,0.0,0.0,0.0,0.33333333333299997,0.0,0.33333333333299997,0.0,0.33333333333299997,Dikarya,3,1,1.09861228867,3.33333333333,-1.33333333333,False
O13535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,1,2,-0.0,4.0,,False
O13547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,8,2,-0.0,1.73333333333,-0.3,False
O13559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,3,1,-0.0,2.83333333333,,False
O13563,0.0,0.0,0.0,0.222222222222,0.111111111111,0.111111111111,0.0,0.555555555556,Saccharomyceta,9,1,1.1490596969700002,3.46666666667,0.12,False
O13577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,2,0,-0.0,0.0,,False
O13585,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,Dikarya,10,0,0.500402423538,1.11111111111,0.119047619048,False
O14455,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,8,2,-0.0,0.466666666667,-0.07142857142860001,False
O14464,0.0,0.0,0.5,0.0,0.4,0.0,0.1,0.0,Euk+Bac,10,0,0.9433483923289999,3.17777777778,-0.511904761905,False
O14467,0.0769230769231,0.153846153846,0.0,0.769230769231,0.0,0.0,0.0,0.0,Eukaryota,13,0,0.6870920273800001,0.923076923077,-0.0396825396825,False
O60200,0.0,0.0,0.0,0.538461538462,0.153846153846,0.0,0.0769230769231,0.23076923076900002,Eukaryota,13,0,1.15698764435,2.76923076923,-0.325396825397,False
O74700,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.0,0.0,False
O75012,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,Ascomycota,8,1,0.6931471805600001,1.44444444444,0.0125,False
O94742,0.0,0.0,0.0,0.375,0.375,0.0,0.125,0.125,Opisthokonta,8,0,1.25548232518,2.17857142857,0.046153846153800006,False
P00044,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.2,Euk+Bac,10,2,0.8018185525429999,3.22727272727,2.9225806451599996,False
P00045,0.0,0.0,0.8,0.0,0.1,0.1,0.0,0.0,Euk+Bac,10,0,0.6390318596500001,1.97777777778,3.16666666667,False
P00127,0.0,0.0,0.0,0.2,0.1,0.3,0.0,0.4,Saccharomyceta,10,1,1.2798542258299999,2.50909090909,-0.24,False
P00128,0.0,0.0,0.0,0.38461538461499994,0.46153846153800004,0.153846153846,0.0,0.0,Opisthokonta,13,0,1.0123308390999999,1.30769230769,0.261904761905,False
P00163,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,10,0,0.6730116670090001,0.0,0.0,False
P00175,0.0769230769231,0.0,0.538461538462,0.153846153846,0.0,0.23076923076900002,0.0,0.0,Euk+Bac,13,0,1.15698764435,2.76923076923,0.5,False
P00330,0.3,0.0,0.6,0.0,0.1,0.0,0.0,0.0,Euk+Bac,10,0,0.897945724857,1.0,-0.535714285714,True
P00331,0.2,0.0,0.6,0.1,0.1,0.0,0.0,0.0,Euk+Bac,10,0,1.08889997535,1.46666666667,-0.07142857142860001,True
P00358,0.125,0.0,0.75,0.125,0.0,0.0,0.0,0.0,Euk+Bac,8,1,0.7356219397589999,1.0,0.8181818181820001,False
P00359,0.111111111111,0.0,0.666666666667,0.222222222222,0.0,0.0,0.0,0.0,Euk+Bac,9,0,0.848685557726,0.777777777778,0.363636363636,False
P00360,0.181818181818,0.0,0.7272727272730001,0.0909090909091,0.0,0.0,0.0,0.0,Euk+Bac,11,0,0.7595473914749999,0.363636363636,-0.15873015873,False
P00401,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,10,1,-0.0,0.909090909091,0.2,False
P00410,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,12,1,-0.0,0.0,0.0,True
P00420,0.916666666667,0.0,0.08333333333330001,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,12,1,0.286835983056,0.461538461538,-0.07142857142860001,True
P00424,0.0,0.0,0.0,0.0,0.222222222222,0.444444444444,0.0,0.33333333333299997,Dikarya,9,2,1.06085694716,1.70909090909,0.156084656085,False
P00425,0.0,0.0,0.0,0.0,0.33333333333299997,0.33333333333299997,0.111111111111,0.222222222222,Opisthokonta,9,1,1.3107836781,1.71111111111,0.27380952380999996,False
P00427,0.0,0.0,0.0,0.0,0.916666666667,0.08333333333330001,0.0,0.0,Opisthokonta,12,1,0.286835983056,0.153846153846,0.0277777777778,False
P00431,0.307692307692,0.0,0.153846153846,0.38461538461499994,0.0769230769231,0.0769230769231,0.0,0.0,Eukaryota,13,0,1.4127446368599998,2.30769230769,0.0555555555556,True
P00445,0.615384615385,0.0,0.153846153846,0.23076923076900002,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.925129083572,1.30769230769,-0.047619047619,False
P00447,0.923076923077,0.0,0.0769230769231,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.271189373042,0.0,0.0,False
P00498,0.916666666667,0.0,0.08333333333330001,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,12,1,0.286835983056,0.0,0.0,True
P00546,0.0,0.0,0.0,0.916666666667,0.08333333333330001,0.0,0.0,0.0,Eukaryota,12,1,0.286835983056,1.12820512821,0.031746031746,False
P00549,0.833333333333,0.0,0.0,0.08333333333330001,0.08333333333330001,0.0,0.0,0.0,Cellular_organisms,12,0,0.56608573896,1.10606060606,0.139170506912,False
P00560,0.916666666667,0.0,0.0,0.08333333333330001,0.0,0.0,0.0,0.0,Cellular_organisms,12,1,0.286835983056,0.564102564103,-0.0873015873016,False
P00572,0.615384615385,0.0769230769231,0.0,0.307692307692,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.8587409130060001,0.974358974359,0.0555555555556,False
P00635,0.0,0.0,0.3,0.2,0.2,0.2,0.0,0.1,Euk+Bac,10,0,1.5571130980599999,3.35555555556,0.22619047619000002,False
P00724,0.0,0.0,0.615384615385,0.23076923076900002,0.0,0.0769230769231,0.0769230769231,0.0,Euk+Bac,13,0,1.03176711135,2.41025641026,0.297619047619,True
P00729,0.0,0.0,0.23076923076900002,0.692307692308,0.0,0.0769230769231,0.0,0.0,Eukaryota,13,0,0.790267968075,1.61538461538,0.214285714286,False
P00812,0.23076923076900002,0.0,0.46153846153800004,0.23076923076900002,0.0769230769231,0.0,0.0,0.0,Euk+Bac,13,0,1.23093162305,1.38461538462,0.0436507936508,False
P00815,0.833333333333,0.0,0.0,0.0,0.166666666667,0.0,0.0,0.0,Cellular_organisms,12,1,0.45056120886600004,1.41025641026,0.555555555556,False
P00817,0.33333333333299997,0.0,0.08333333333330001,0.583333333333,0.0,0.0,0.0,0.0,Eukaryota,12,1,0.887694275799,1.23076923077,0.480158730159,False
P00830,0.46153846153800004,0.0,0.538461538462,0.0,0.0,0.0,0.0,0.0,Euk+Bac,13,0,0.6901856760189999,0.0,0.0,False
P00854,0.538461538462,0.0,0.46153846153800004,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.6901856760189999,0.0,0.0,True
P00856,0.0,0.0,0.0,0.0,0.0,0.0,0.833333333333,0.166666666667,Ascomycota,6,0,0.45056120886600004,0.333333333333,-0.17857142857099997,False
P00890,0.181818181818,0.0,0.45454545454499995,0.363636363636,0.0,0.0,0.0,0.0,Euk+Bac,11,1,1.03619878482,1.43939393939,-0.08387096774189999,False
P00899,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,11,2,-0.0,0.153846153846,-0.0238095238095,True
P00912,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,12,1,-0.0,0.0,0.0,True
P00924,0.8,0.1,0.0,0.1,0.0,0.0,0.0,0.0,Cellular_organisms,10,1,0.6390318596500001,0.872727272727,0.40476190476199997,False
P00925,0.75,0.125,0.0,0.0,0.125,0.0,0.0,0.0,Cellular_organisms,8,1,0.7356219397589999,1.27777777778,2.0,False
P00927,0.23076923076900002,0.0,0.769230769231,0.0,0.0,0.0,0.0,0.0,Euk+Bac,13,0,0.5402041423889999,0.0,0.0,True
P00931,0.846153846154,0.0,0.0,0.153846153846,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.42932302193099997,0.846153846154,0.33333333333299997,False
P00937,0.769230769231,0.0,0.0,0.0,0.0769230769231,0.0,0.153846153846,0.0,Cellular_organisms,13,0,0.6870920273800001,2.48717948718,0.18253968254,False
P00942,0.33333333333299997,0.0,0.583333333333,0.08333333333330001,0.0,0.0,0.0,0.0,Euk+Bac,12,1,0.887694275799,0.717948717949,-0.00793650793651,False
P00950,0.615384615385,0.0,0.38461538461499994,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.666278442415,0.0,0.0,True
P00958,0.75,0.166666666667,0.0,0.08333333333330001,0.0,0.0,0.0,0.0,Cellular_organisms,12,1,0.7214636866930001,0.692307692308,-0.00396825396825,False
P01097,0.0,0.0,0.0,0.0,0.0,0.375,0.125,0.5,Saccharomyceta,8,1,0.9743147528689999,1.27777777778,-0.175,False
P01098,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,Dikarya,5,0,0.6730116670090001,0.6,-0.166666666667,False
P01119,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,Eukaryota,10,3,0.500402423538,1.46153846154,0.031746031746,False
P01120,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,Eukaryota,10,0,0.6730116670090001,1.6,0.214285714286,False
P01123,0.0,0.0,0.0769230769231,0.846153846154,0.0769230769231,0.0,0.0,0.0,Eukaryota,13,0,0.5359610497089999,0.897435897436,-0.0873015873016,False
P01149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,6,0,-0.0,0.0,0.0,False
P02293,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,9,1,-0.0,0.2,0.25,False
P02294,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,8,1,-0.0,0.0,0.0,False
P02309,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.0,0.0,False
P02400,0.0,0.166666666667,0.0,0.666666666667,0.166666666667,0.0,0.0,0.0,Eukaryota,12,1,0.8675632284810001,1.41025641026,0.246031746032,False
P02406,0.0,0.692307692308,0.0,0.307692307692,0.0,0.0,0.0,0.0,Euk_Archaea,13,0,0.61724176973,0.461538461538,-0.07142857142860001,False
P02407,0.0,0.666666666667,0.0,0.33333333333299997,0.0,0.0,0.0,0.0,Euk_Archaea,9,1,0.636514168295,0.533333333333,-0.107142857143,False
P02557,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,13,0,-0.0,0.0,0.0,False
P02829,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,Euk+Bac,10,1,0.325082973391,0.363636363636,0.277777777778,False
P02992,0.166666666667,0.08333333333330001,0.583333333333,0.166666666667,0.0,0.0,0.0,0.0,Euk+Bac,12,1,1.1187433359899999,0.948717948718,-0.14682539682499998,False
P02994,0.46153846153800004,0.38461538461499994,0.0,0.0769230769231,0.0,0.0769230769231,0.0,0.0,Cellular_organisms,13,0,1.11896886688,1.4358974359,-0.119047619048,False
P03069,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,Saccharomyceta,10,1,0.6730116670090001,1.81818181818,0.515873015873,False
P03873,0.375,0.0,0.375,0.25,0.0,0.0,0.0,0.0,Cellular_organisms,8,0,1.08219553004,1.28571428571,-0.5,False
P03875,0.33333333333299997,0.0,0.583333333333,0.08333333333330001,0.0,0.0,0.0,0.0,Euk+Bac,12,0,0.887694275799,0.5,-0.152073732719,True
P03876,0.375,0.0,0.5,0.125,0.0,0.0,0.0,0.0,Euk+Bac,8,0,0.9743147528689999,0.75,-0.4375,True
P03877,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Ascomycota,4,1,-0.0,1.2,-0.75,False
P03878,0.25,0.0,0.0,0.125,0.375,0.0,0.25,0.0,Opisthokonta,8,0,1.32088834315,3.10714285714,-1.0625,False
P03879,0.777777777778,0.0,0.222222222222,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,9,0,0.529706199058,0.0,0.0,False
P03881,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Ascomycota,4,1,-0.0,0.8,-0.5,False
P03882,0.0,0.0,0.28571428571400004,0.5714285714289999,0.0,0.0,0.14285714285700002,0.0,Eukaryota,7,0,0.955699891113,2.57142857143,-0.518181818182,False
P03962,0.08333333333330001,0.0,0.0,0.666666666667,0.08333333333330001,0.166666666667,0.0,0.0,Eukaryota,12,1,0.983087758575,1.89743589744,-0.035714285714300006,False
P03965,0.75,0.08333333333330001,0.0,0.08333333333330001,0.08333333333330001,0.0,0.0,0.0,Cellular_organisms,12,1,0.836988216786,1.12820512821,0.18650793650800002,False
P04037,0.0,0.0,0.0,0.583333333333,0.08333333333330001,0.166666666667,0.08333333333330001,0.08333333333330001,Eukaryota,12,1,1.23426786608,2.12820512821,-0.0198412698413,False
P04039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saccharomyceta,9,2,-0.0,1.30909090909,-0.24,False
P04046,0.538461538462,0.0,0.38461538461499994,0.0769230769231,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.898137003188,0.461538461538,-0.07142857142860001,False
P04050,0.7272727272730001,0.0909090909091,0.0,0.181818181818,0.0,0.0,0.0,0.0,Cellular_organisms,11,2,0.7595473914749999,0.897435897436,0.222222222222,False
P04051,0.692307692308,0.0769230769231,0.0769230769231,0.153846153846,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.937155853066,0.666666666667,-0.0515873015873,False
P04076,0.846153846154,0.0,0.153846153846,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.42932302193099997,0.0,0.0,False
P04147,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,Eukaryota,12,1,0.562335144619,0.923076923077,-0.0396825396825,False
P04161,0.615384615385,0.0,0.0769230769231,0.23076923076900002,0.0,0.0769230769231,0.0,0.0,Cellular_organisms,13,0,1.03176711135,2.07692307692,-0.166666666667,False
P04173,0.25,0.0,0.666666666667,0.0,0.08333333333330001,0.0,0.0,0.0,Euk+Bac,12,1,0.8239592165009999,0.769230769231,-0.119047619048,True
P04385,0.0909090909091,0.0,0.45454545454499995,0.272727272727,0.0909090909091,0.0,0.0,0.0909090909091,Euk+Bac,11,0,1.36671105206,2.72727272727,2.01058201058,False
P04386,0.0,0.0,0.0,0.0,0.0,0.923076923077,0.0,0.0769230769231,Dikarya,13,0,0.271189373042,0.307692307692,-0.047619047619,False
P04387,0.0,0.0,0.769230769231,0.0,0.0,0.0,0.0,0.23076923076900002,Euk+Bac,13,0,0.5402041423889999,3.07692307692,2.0,True
P04397,0.545454545455,0.0,0.45454545454499995,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,11,2,0.689009238477,1.97435897436,0.777777777778,False
P04449,0.0,0.125,0.0,0.875,0.0,0.0,0.0,0.0,Eukaryota,8,1,0.37677016125600005,0.611111111111,0.0519480519481,False
P04456,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,Cellular_organisms,12,1,1.0397207708399998,0.923076923077,0.166666666667,False
P04650,0.0,0.46153846153800004,0.0,0.46153846153800004,0.0,0.0,0.0,0.0769230769231,Eukaryota,13,0,0.911017539713,1.69230769231,0.0992063492063,False
P04710,0.0,0.0,0.0,0.8571428571430001,0.14285714285700002,0.0,0.0,0.0,Eukaryota,7,2,0.410116318288,0.833333333333,1.9090909090900001,False
P04786,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.74358974359,0.19444444444400003,False
P04801,0.692307692308,0.0,0.153846153846,0.153846153846,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.8305178252869999,0.564102564103,-0.0873015873016,False
P04802,0.615384615385,0.0769230769231,0.0,0.307692307692,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,0.8587409130060001,1.12820512821,-0.123015873016,False
P04803,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,Euk+Bac,12,1,0.562335144619,0.0,0.0,False
P04806,0.0,0.0,0.7,0.1,0.2,0.0,0.0,0.0,Euk+Bac,10,0,0.8018185525429999,2.11111111111,4.16666666667,False
P04807,0.0,0.0,0.777777777778,0.111111111111,0.0,0.0,0.0,0.111111111111,Euk+Bac,9,2,0.6837389058490001,3.27272727273,5.0462962962999995,False
P04817,0.4,0.0,0.4,0.0,0.0,0.1,0.0,0.1,Cellular_organisms,10,1,1.1935496041,3.27272727273,1.48148148148,False
P04819,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,12,1,-0.0,0.0,0.0,False
P04821,0.0,0.0,0.0,0.538461538462,0.307692307692,0.0,0.0,0.153846153846,Eukaryota,13,0,0.983961446001,2.71794871795,0.35317460317500005,False
P04840,0.0,0.0,0.0,0.666666666667,0.33333333333299997,0.0,0.0,0.0,Eukaryota,12,0,0.636514168295,0.969696969697,0.36866359446999997,False
P04911,0.0,0.0,0.0,0.8571428571430001,0.14285714285700002,0.0,0.0,0.0,Eukaryota,7,1,0.410116318288,1.03571428571,-0.354166666667,False
P04912,0.0,0.0,0.0,0.8,0.1,0.1,0.0,0.0,Eukaryota,10,1,0.6390318596500001,1.34545454545,0.0238095238095,False
P05030,0.45454545454499995,0.0909090909091,0.0909090909091,0.181818181818,0.0,0.0,0.0909090909091,0.0909090909091,Cellular_organisms,11,1,1.54030582523,3.57575757576,0.538248847926,False
P05066,0.769230769231,0.0,0.153846153846,0.0,0.0769230769231,0.0,0.0,0.0,Cellular_organisms,13,0,0.6870920273800001,0.769230769231,0.138888888889,True
P05085,0.0,0.0,0.0,0.0,0.0,0.0909090909091,0.0,0.909090909091,Saccharomyceta,11,0,0.304636097349,0.545454545455,0.12,False
P05150,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,-0.0,0.0,0.0,False
P05316,0.888888888889,0.0,0.111111111111,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,9,1,0.34883209584299996,1.6,2.0,True
P05317,0.0,0.923076923077,0.0,0.0769230769231,0.0,0.0,0.0,0.0,Euk_Archaea,13,0,0.271189373042,0.153846153846,0.0277777777778,False
P05318,0.0,0.272727272727,0.0,0.272727272727,0.272727272727,0.181818181818,0.0,0.0,Opisthokonta,11,2,1.3730039128799998,2.61538461538,0.214285714286,False
P05319,0.0,0.272727272727,0.0,0.545454545455,0.0,0.0,0.0,0.181818181818,Eukaryota,11,0,0.994923632572,3.12727272727,0.526666666667,False
P05373,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,12,1,-0.0,0.0,0.0,False
P05374,0.0,0.0,0.0,0.846153846154,0.0,0.153846153846,0.0,0.0,Eukaryota,13,0,0.42932302193099997,1.33333333333,0.206349206349,False
P05375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,13,0,-0.0,0.0,0.0,False
P05453,0.0769230769231,0.0769230769231,0.153846153846,0.692307692308,0.0,0.0,0.0,0.0,Eukaryota,13,0,0.937155853066,0.846153846154,0.33333333333299997,False
P05626,0.0,0.0,0.0,0.153846153846,0.46153846153800004,0.38461538461499994,0.0,0.0,Opisthokonta,13,0,1.0123308390999999,1.07692307692,-0.166666666667,False
P05694,0.23076923076900002,0.0,0.769230769231,0.0,0.0,0.0,0.0,0.0,Euk+Bac,13,0,0.5402041423889999,0.0,0.0,True
P05737,0.0,0.666666666667,0.0,0.33333333333299997,0.0,0.0,0.0,0.0,Euk_Archaea,9,1,0.636514168295,0.533333333333,-0.107142857143,False
P05738,0.428571428571,0.428571428571,0.0,0.14285714285700002,0.0,0.0,0.0,0.0,Cellular_organisms,7,2,1.0042424730500001,0.722222222222,-0.24675324675299998,False
P05739,0.0,0.111111111111,0.0,0.888888888889,0.0,0.0,0.0,0.0,Eukaryota,9,1,0.34883209584299996,0.2,0.25,False
P05740,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,8,1,0.6931471805600001,0.555555555556,-0.0909090909091,False
P05743,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Euk_Archaea,8,1,-0.0,0.0,0.0,False
P05744,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,7,2,-0.0,0.222222222222,0.45454545454499995,False
P05745,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,8,2,-0.0,0.866666666667,0.428571428571,False
P05747,0.0,0.0,0.0,0.833333333333,0.08333333333330001,0.0,0.0,0.08333333333330001,Eukaryota,12,1,0.56608573896,1.48717948718,-0.0238095238095,False
P05748,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Euk_Archaea,8,2,-0.0,0.2,0.25,False
P05749,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,9,1,-0.0,0.355555555556,-0.047619047619,False
P05750,0.583333333333,0.416666666667,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,12,1,0.6791932659919999,0.512820512821,-0.0793650793651,False
P05755,0.33333333333299997,0.555555555556,0.0,0.111111111111,0.0,0.0,0.0,0.0,Euk_Archaea,9,1,0.9368883075390001,0.733333333333,-0.214285714286,False
P05756,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Euk_Archaea,13,0,-0.0,0.0,0.0,False
P05759,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,Eukaryota,10,1,0.325082973391,1.05454545455,0.24666666666700002,False
P05986,0.14285714285700002,0.0,0.428571428571,0.428571428571,0.0,0.0,0.0,0.0,Euk+Bac,7,2,1.0042424730500001,2.5,0.233766233766,False
P06100,0.0,0.0,0.0,0.7272727272730001,0.0,0.0,0.272727272727,0.0,Eukaryota,11,2,0.585952618304,2.25641025641,0.424603174603,False
P06101,0.0,0.0,0.0,0.5,0.08333333333330001,0.416666666667,0.0,0.0,Eukaryota,12,1,0.918427784993,1.74358974359,-0.269841269841,False
P06102,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,Eukaryota,10,0,0.610864302055,1.53333333333,0.642857142857,False
P06103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.153846153846,0.0277777777778,False
P06104,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.461538461538,-0.07142857142860001,False
P06105,0.0,0.0,0.0,0.666666666667,0.33333333333299997,0.0,0.0,0.0,Eukaryota,6,7,0.636514168295,1.07692307692,0.5039682539679999,False
P06106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,13,0,-0.0,0.0,0.0,True
P06115,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Euk+Bac,11,2,-0.0,2.15384615385,0.75,True
P06168,0.916666666667,0.0,0.0,0.08333333333330001,0.0,0.0,0.0,0.0,Cellular_organisms,12,1,0.286835983056,0.461538461538,-0.07142857142860001,False
P06169,0.45454545454499995,0.272727272727,0.0909090909091,0.0,0.0,0.181818181818,0.0,0.0,Cellular_organisms,11,0,1.2406842919499999,2.18181818182,-0.515873015873,True
P06174,0.153846153846,0.0,0.0769230769231,0.0769230769231,0.538461538462,0.0,0.153846153846,0.0,Opisthokonta,13,0,1.30387552934,2.5641025641,-0.0873015873016,False
P06182,0.0,0.0,0.0,0.8181818181820001,0.181818181818,0.0,0.0,0.0,Eukaryota,11,2,0.474139313058,1.07692307692,0.19444444444400003,False
P06197,0.08333333333330001,0.08333333333330001,0.0,0.833333333333,0.0,0.0,0.0,0.0,Eukaryota,12,1,0.56608573896,0.666666666667,-0.0515873015873,False
P06208,0.08333333333330001,0.0,0.666666666667,0.0,0.0,0.0,0.08333333333330001,0.166666666667,Euk+Bac,12,0,0.983087758575,3.77272727273,3.4645161290300006,True
P06242,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.615384615385,-0.0436507936508,False
P06243,0.0,0.0,0.0,0.846153846154,0.0769230769231,0.0,0.0,0.0769230769231,Eukaryota,13,0,0.5359610497089999,1.79487179487,0.444444444444,False
P06244,0.0,0.0,0.45454545454499995,0.363636363636,0.0,0.0909090909091,0.0909090909091,0.0,Euk+Bac,11,0,1.16222554492,2.8,0.189153439153,False
